Actual,Predicted,FIPS
6.42,20.48503794579186,1003
13.18,19.8637220668714,1043
14.63,22.76387884729464,1055
20.63,24.826969321544603,1073
3.0,20.720558235240198,1089
7.98,21.48552392785302,1097
11.76,21.68923799472174,1103
18.04,20.14532645683108,1115
11.13,16.324531547704925,1117
5.74,20.545171152778043,1125
9.6,16.8593584493523,2020
18.79,23.347389342386386,2122
10.22,16.85062712177096,2170
11.83,21.148286108445376,4003
16.1,16.244134023590053,4005
17.21,15.215206932929659,4013
6.68,25.886042457392936,4015
16.17,18.97010033955628,4019
8.05,15.775006253665227,4021
10.78,21.081328412093317,4025
6.97,15.894691574094429,5007
11.09,24.951204914640183,5051
11.71,20.16139245327858,5119
3.36,11.347052575156033,6001
6.92,24.52924734743338,6007
7.3,12.449583720518278,6013
3.52,16.714429459332838,6019
11.73,19.008769906044193,6023
8.25,15.979547654935823,6025
10.71,15.762076528348585,6029
32.62,25.22905130430955,6033
5.06,15.352487662569086,6037
15.98,20.829602429968553,6045
7.28,16.21086843323819,6047
7.94,13.033442616050113,6059
6.04,16.797820717412698,6065
4.28,14.625757665499924,6067
4.51,14.929170120697057,6071
8.23,13.971098053055082,6073
16.64,11.163097354396402,6075
3.72,17.14778605120883,6077
4.58,14.911462159315679,6079
5.2,10.908256963498093,6081
7.39,14.97908781402955,6083
2.94,10.908256963498093,6085
8.02,14.256264244006518,6087
6.11,20.264629258949086,6089
4.48,13.37519619599413,6095
8.8,15.15075287414743,6097
6.55,21.1935039411144,6099
11.28,16.05486189547161,6111
13.28,15.307531156993882,8001
10.75,15.312094420724137,8005
5.83,14.217609431041591,8013
12.28,14.10698466842342,8031
14.71,16.010665832265566,8041
9.65,14.663759490953414,8059
6.56,14.879470637409195,8069
7.83,19.69899339868643,8077
9.55,25.816957928629968,8101
8.59,14.971673188279825,8123
16.53,13.218930426811857,9001
29.91,15.1269081246945,9003
39.75,15.725661608435553,9005
33.81,14.53271625662998,9007
27.52,15.364380284779696,9009
32.24,16.010665832265566,9011
21.87,13.009153605316888,9013
31.62,16.72246030705953,9015
31.92,20.60081648544727,10001
38.8,15.98272281402955,10003
30.09,19.77645856949053,10005
25.2,15.077197879154424,11001
4.82,17.73156761775471,12001
12.41,21.037057709585383,12005
32.34,22.27798982692591,12009
11.17,15.173096686663945,12011
22.31,26.719933164463647,12017
20.83,19.571205100009816,12019
12.95,15.783263763558699,12021
18.44,19.0605562662405,12023
26.31,19.362011111904177,12031
17.11,24.021451295999615,12033
12.49,24.170825757094377,12035
11.53,22.223519317977303,12053
10.43,28.36696124077326,12055
14.82,15.402793713329517,12057
10.8,22.15641233156309,12061
9.26,23.159006021838017,12069
26.37,17.86559469098698,12071
4.44,18.62071768708396,12073
18.23,16.399206636973034,12081
26.11,25.56985551657418,12083
14.91,16.264395408902857,12085
6.63,15.039581017907265,12086
21.33,17.429648739396296,12087
17.48,20.03771368969629,12089
20.75,16.16374605327225,12091
15.28,14.982720774084857,12095
18.21,15.301773419980778,12097
22.07,15.173096686663945,12099
12.97,19.693950344203458,12101
14.97,20.983870690702656,12103
9.6,21.28162390110215,12105
8.65,14.663759490953414,12109
8.72,19.136897881580424,12111
8.92,19.507977673199335,12113
15.0,16.51378605217771,12115
16.25,15.877267399922335,12117
9.32,20.987125314875314,12119
21.37,20.922342384352856,12127
13.61,19.296925736425333,13013
13.16,23.11675805709207,13015
11.07,22.45670921827645,13051
13.77,14.58471615762008,13057
4.49,14.776692852424091,13063
10.44,15.267619840108885,13067
9.72,14.988854839603333,13073
9.6,18.02162910351409,13077
6.87,14.912878035870293,13089
12.39,22.431602526207563,13097
11.23,22.66253273364164,13115
6.34,11.620322743482813,13117
9.24,14.887433486871535,13121
7.98,15.672419518817533,13135
6.93,20.53422897353094,13139
12.16,15.64407898677072,13151
5.15,24.096647185886983,13215
7.32,15.267619840108885,13223
18.36,27.79208258468935,13245
16.04,20.720558235240198,13297
6.47,16.27702731519098,15001
3.06,11.678811659209238,15003
8.37,13.919563171915643,15009
10.21,15.130065147213115,16001
6.19,21.858763206000425,16055
20.53,15.633573001379219,17007
9.05,16.81781952430862,17019
19.32,15.299732283104536,17031
11.52,15.162587949712824,17037
14.54,13.117659363950118,17043
19.62,15.740780746378924,17063
8.42,13.92787208304478,17089
21.81,20.85220400720566,17091
10.16,13.78264828317954,17093
9.85,14.804449951063129,17097
31.98,19.68334315294694,17099
15.56,14.14891233698126,17111
15.62,15.069600808527744,17113
13.37,25.086022308443933,17115
33.65,21.61742748392238,17119
22.15,20.810880605880197,17143
20.3,19.55335072710888,17163
14.33,22.279235166900197,17167
13.6,20.85775320649507,17179
16.93,24.028868893307596,17183
15.89,16.752357643331692,17197
45.41,20.183647132320655,17201
11.46,16.98434851358971,18003
13.29,19.29786628616147,18005
20.9,14.83856347225496,18011
30.67,21.609567898947247,18019
10.46,28.85174189084814,18035
9.73,15.114471609299063,18039
60.75,21.911247195119767,18041
20.57,21.03243730334857,18043
43.98,15.848208603567205,18047
15.17,21.79134140662793,18053
8.79,11.667210681622011,18057
20.96,14.041652780996703,18059
17.0,20.235817657033426,18067
34.01,16.664125100891297,18071
6.4,17.189545667306195,18081
18.79,21.330532914910755,18089
12.73,21.62800485143747,18091
12.34,19.470852135818262,18095
27.76,19.057179721491902,18097
11.57,17.94316655233908,18105
29.95,20.098443374469515,18109
14.15,17.89182614861245,18127
16.25,22.688894899788437,18141
18.13,15.880968454972425,18157
14.37,20.274535622232946,18163
54.6,19.502985469151596,18177
4.87,15.598739477844411,19113
9.44,15.130065147213115,19153
6.35,15.517963493660345,19163
6.02,15.125875978614985,20091
16.04,20.195784092098776,20155
5.84,22.24348641917449,20173
7.89,20.603237925450106,20177
31.93,15.435971610945897,21015
57.15,23.792651352729607,21019
25.9,20.35743167387177,21029
54.75,19.326816852318814,21037
40.73,36.60625271177285,21043
41.38,20.488005565733506,21049
33.05,15.402793713329517,21067
33.48,37.08464152296093,21071
27.55,21.31589956086915,21073
39.81,21.793714942144057,21081
31.19,20.473979047316583,21089
28.81,19.91375505244203,21111
29.67,19.557816852318812,21113
48.78,15.628344481401536,21117
42.22,20.6478021841674,21151
35.46,22.431784492387177,21173
20.55,33.099579782656285,21195
17.02,24.52111355467027,21199
23.2,15.23461457016144,21209
16.04,18.651064639473706,22005
7.03,21.08938127944055,22033
28.8,22.19850373434481,22051
11.46,21.489504826440992,22063
9.21,25.91922795689826,22071
14.55,23.44836645916796,22079
27.51,21.337373692125453,22103
57.96,33.111340518064665,22117
23.22,20.566690848023214,23001
20.44,14.862426812969572,23005
27.85,20.068954766550846,23011
20.83,19.735549984620732,23017
25.15,19.19168088004528,23019
19.77,20.769892201799752,23025
38.11,19.219271799225613,23029
26.18,15.359517393184726,23031
12.5,14.301861526900252,24003
11.35,15.653267967800112,24005
11.96,14.079527709004365,24009
10.09,14.884920123898105,24013
16.53,15.694832950965097,24015
9.0,15.150949368332476,24021
7.88,14.881870940228776,24025
3.4,10.666207089039217,24027
2.85,11.492513357764729,24031
4.07,13.561902839616446,24033
10.6,23.49852800033309,24043
24.73,15.523828418612288,24510
32.8,15.973852041874187,25001
30.87,16.310169984478886,25003
37.94,16.113601519975205,25005
33.9,14.521136929402926,25009
29.59,15.21140680634818,25011
43.15,17.07188329357607,25013
22.93,14.879470637409195,25015
19.69,10.711798065352111,25017
23.53,12.438548248875325,25021
28.95,13.837416926498628,25023
26.26,13.847446208922852,25025
33.22,14.964108509826524,25027
15.57,21.309027285592038,26021
34.95,24.605100884734963,26025
18.21,16.953627721968584,26045
43.75,24.731542293738535,26049
24.94,18.739496557257272,26065
14.72,17.482626357653647,26077
11.17,15.247870041642297,26081
21.37,21.317402394853772,26091
13.07,14.240105398732675,26093
29.84,20.723879657055093,26099
26.59,22.097978441195437,26115
18.76,20.77098468453603,26117
21.31,23.594337906093664,26121
5.48,15.215512676874004,26125
7.57,14.379767066710988,26139
25.1,20.629532539037836,26147
17.6,20.883683513895235,26155
14.58,18.873393134652495,26159
19.41,14.122825830814595,26161
38.6,18.394903758383954,26163
8.48,14.378301406465132,27003
4.47,12.180721939320188,27037
9.93,13.183443726951573,27053
4.36,14.879386988051195,27123
8.51,15.980413533957401,27137
13.74,19.622373397393545,28033
8.23,25.14387595426545,28047
4.64,20.495666866489078,28049
8.45,19.610388600569728,28121
13.33,14.712760185977489,29019
11.29,21.489000499236028,29021
7.31,15.894691574094429,29047
29.9,20.03771368969629,29071
16.1,19.6956418511428,29077
9.14,21.395319996652365,29095
45.02,17.699340229008573,29099
27.74,15.98272281402955,29113
19.23,15.917165107737333,29169
26.3,12.652581177415952,29183
31.7,15.861708874379724,29189
31.69,15.826230057640908,29219
69.67,19.905209257714763,29510
9.26,16.15571936496056,30063
7.49,17.542665914668163,30111
4.76,15.078008374004945,31055
3.15,15.114471609299063,31109
5.96,14.753976962020685,31153
11.74,16.408136548179705,32003
23.29,20.363568375154863,32019
11.38,15.98272281402955,32031
40.97,15.522881475864432,33001
39.22,15.826230057640908,33005
12.25,14.645902755808276,33009
35.4,14.321843629834833,33011
29.78,13.253786789498623,33013
26.52,13.252854695170589,33015
33.05,14.419783967929488,33017
49.35,15.862404163309577,34001
13.13,12.819691226878305,34003
35.7,15.278960630704008,34005
50.49,16.580263436496935,34007
49.7,21.57233964488065,34009
63.59,20.843378536076717,34011
30.63,15.474151727576025,34013
50.1,15.902843916127859,34015
19.82,14.547807164867516,34017
8.82,10.964885386721928,34019
31.37,15.763888674822265,34021
21.45,12.925880584757978,34023
31.54,13.970720839579013,34025
17.0,10.964885386721928,34027
35.9,16.005224780037793,34029
26.03,15.074184543273523,34031
67.09,17.11213772530049,34033
13.29,10.610977543584672,34035
28.41,15.168225169260518,34037
23.29,13.989392563791096,34039
32.14,16.18186300703695,34041
19.74,19.798174180759364,35001
9.65,20.671278322672595,35013
17.27,19.124906780759176,35015
56.4,28.98593694180566,35039
13.09,15.413595279415663,35043
18.66,21.593163425566228,35049
23.54,20.880622211137407,35061
8.79,14.854216029383487,36001
22.2,22.484372905630444,36005
14.61,20.626002798662995,36007
15.56,14.987783800095404,36011
15.63,21.424564642035826,36013
29.2,17.855923103122656,36025
28.26,15.172501150519166,36027
18.16,17.524591070615838,36029
29.56,17.120923455896957,36037
8.95,19.52449992932152,36045
8.4,14.83600374178579,36047
23.72,15.14223183643368,36051
15.54,16.30204065543395,36053
25.05,14.99672956642173,36055
11.63,11.247140583409298,36059
12.89,13.701929922998017,36061
19.48,21.41319567380201,36063
16.12,14.143445644458374,36065
17.11,16.20843508057516,36067
12.74,15.96858233346447,36069
27.23,15.391349791361167,36071
12.72,15.472893532008712,36075
20.22,13.261825306414366,36079
8.03,13.746778010713815,36081
22.89,14.241671211119508,36085
8.6,13.745588773756426,36087
23.09,13.55231822519993,36103
45.03,21.48471553195754,36105
9.73,15.26063900447579,36109
33.59,15.069600808527744,36111
17.77,16.828314936188825,36117
14.06,12.883618427178718,36119
16.82,20.472131242918223,37001
23.36,23.687849073769048,37013
18.28,21.428048412929023,37019
27.4,17.12334851358971,37021
14.38,19.41715726719533,37023
21.77,16.073888780079933,37025
17.07,22.18129724327036,37027
25.89,21.619356611762697,37031
11.35,19.644565747403202,37035
28.18,23.41561145258535,37049
21.67,23.74648670665679,37051
41.09,20.473765159529353,37055
21.61,20.91529937730759,37057
11.05,14.908655019997276,37063
19.23,35.28971043498214,37065
24.27,22.310033638821587,37067
29.6,15.140948206123083,37069
16.6,21.262480632897635,37071
17.61,19.482318484647923,37081
23.73,33.14817338132435,37083
17.14,19.735277749814415,37085
20.98,20.105498710898065,37087
12.85,20.748493007459643,37089
14.57,20.03771368969629,37097
25.39,23.727661747731595,37099
9.87,15.31870281106586,37101
16.27,20.862697387279628,37105
16.71,19.87905491293105,37109
15.36,15.31870281106586,37119
23.4,19.867043991721413,37127
29.28,22.361973141281545,37129
19.73,21.290722503714072,37133
14.38,13.933149503588254,37135
19.3,14.40033969268756,37141
25.31,22.064863377153255,37145
17.23,23.36149001590507,37147
29.3,22.543264159092086,37151
14.41,32.840205632315616,37155
27.57,21.612776637070557,37157
25.48,21.797106311765933,37159
17.29,26.84999716149891,37163
33.83,21.65970588577638,37167
26.39,20.79510704750016,37169
27.8,18.7386695629342,37171
13.14,15.425269812865363,37179
9.34,16.05486189547161,37183
16.23,19.6787572601838,37191
21.88,23.01012822206298,37193
31.96,18.13764643262523,37197
6.06,13.466973476686348,38017
13.33,18.21706060911372,39007
55.04,21.529487343618694,39015
39.23,16.461656244596323,39017
47.55,21.486107324911437,39023
33.1,16.45132038257692,39025
26.15,21.46475039037586,39027
26.47,21.18741898820544,39033
31.6,15.05261265192284,39035
27.28,15.99530792610715,39037
13.67,13.440850015442498,39041
28.14,22.849892032860193,39043
13.48,16.005224780037793,39045
32.89,14.961895930431416,39049
46.7,19.951167043729694,39053
26.19,15.98272281402955,39057
39.43,15.681081456353136,39061
27.66,15.98272281402955,39063
35.23,19.293814901552324,39073
27.35,22.276009236559215,39077
22.81,28.226475118664656,39081
27.33,16.82555772946461,39085
45.1,22.64031197839751,39087
10.24,16.005224780037793,39089
28.76,16.563035844816866,39093
32.1,24.913499832167428,39095
37.01,23.707939648709647,39099
32.18,24.43735378018192,39101
18.98,15.267131803872156,39103
56.26,16.22497109396669,39105
23.54,15.827309041539001,39109
46.96,23.105962883389303,39113
25.53,22.756468287453316,39119
24.1,16.00950177085104,39129
46.32,24.51098346184647,39131
16.57,15.974951812828005,39133
24.39,16.36315578233308,39135
36.33,19.426305710662355,39139
40.3,19.284114657477897,39141
23.81,20.59802849504977,39143
51.65,36.25570048034847,39145
15.88,20.81238065083496,39151
18.82,15.697465300262802,39153
36.75,24.112657152382052,39155
11.93,19.82034603794767,39157
16.8,15.072152416679764,39165
19.95,20.861649156809065,39167
12.07,15.781643109465108,39169
8.31,16.133838285085066,40017
6.04,20.62834574993577,40027
6.81,20.761255952709284,40109
9.41,20.485178985410762,40143
4.33,15.769445483784626,41005
13.21,20.241975146394974,41029
9.22,22.08260590030433,41039
3.17,15.434932889242164,41047
14.66,15.129880996838029,41051
4.85,15.14214315005227,41067
31.84,16.266909988045857,42003
13.96,18.785660366353905,42007
18.09,16.171394477260346,42011
18.31,15.955229603062781,42017
19.69,15.653267967800112,42019
16.7,22.96772747593126,42021
20.88,13.069456239678498,42029
18.89,20.61664478201105,42033
16.81,21.308263515322288,42037
22.34,19.683460678890743,42039
11.14,15.444802147801193,42041
19.85,15.33327602938914,42043
24.44,15.973852041874187,42045
20.58,20.344295986263635,42049
10.98,15.31870281106586,42055
17.75,20.218419429059583,42063
38.9,20.89203668485651,42069
10.3,15.517650643272786,42071
39.45,20.152349833175357,42073
10.32,14.894165770730005,42077
20.15,19.47470997244222,42079
22.59,21.808831499172474,42085
9.44,15.931615634294376,42089
19.91,15.227389247897355,42091
20.01,15.613997006853692,42095
16.47,19.386251337748696,42097
46.78,19.569212791967978,42101
26.82,18.42591806746468,42103
12.67,20.361403847900093,42107
33.28,17.191174889186765,42125
27.3,20.972163157194604,42127
4.85,18.38395861313041,42129
36.97,15.697465300262802,42131
13.83,15.96858233346447,42133
32.95,15.694832950965097,44003
16.96,15.055868779698496,44005
27.2,15.09989643281374,44007
12.68,15.304225101661324,44009
18.3,21.258462019703238,45003
10.47,20.520566890967352,45007
9.54,15.826230057640908,45013
17.19,15.114471609299063,45015
18.72,15.114471609299063,45019
20.54,18.529444233089396,45035
16.65,19.0605562662405,45041
24.1,21.979437660194137,45043
22.36,20.050602227317796,45045
24.03,20.302832976001326,45047
22.66,23.181886675401746,45051
18.29,22.386858997035546,45055
14.68,18.77004117396573,45057
22.39,19.495039637530898,45059
14.91,18.859926072176968,45063
19.14,20.5405881703229,45073
21.61,19.72230356438969,45077
11.82,16.213395819170035,45079
18.48,21.63568938343881,45083
18.78,20.55264219641252,45085
18.61,16.288938274333304,45091
7.26,15.840999105259955,46099
23.53,19.454275199516243,47001
22.84,19.417885013231242,47009
15.93,23.131630502691987,47011
21.3,26.946838699557734,47019
51.93,20.332909753597985,47021
23.34,20.97381120107733,47031
28.59,17.16047041602714,47037
18.71,20.254178985410757,47043
23.16,26.664340016779434,47059
11.25,20.933448401219607,47065
17.69,24.808157126670313,47073
46.42,19.902234649877887,47093
19.08,21.533273555875827,47119
19.42,21.9052951669002,47125
47.05,20.582659770273708,47145
14.08,21.41045389786516,47147
20.93,19.222638549738303,47149
37.8,22.338034101860423,47155
12.61,19.281697769123262,47157
26.64,18.84769275272686,47163
18.17,16.096319961748822,47165
16.24,23.0443913906558,47167
13.38,11.321644445800105,47187
13.51,15.1973769851744,47189
4.78,15.095240292220133,48027
5.14,15.000932284383344,48029
5.67,15.96858233346447,48039
3.58,15.071272623856435,48085
5.84,14.816379644506581,48113
3.03,13.92426149472522,48121
6.78,16.230492719938912,48135
5.59,15.216593831730878,48141
3.05,13.318829722175554,48157
8.88,16.113601519975205,48167
6.21,14.83960815119714,48201
1.27,22.482278850299814,48215
4.71,23.779540659351742,48245
6.51,19.701466219359297,48303
3.93,18.155700295654583,48309
7.45,15.973852041874187,48339
7.18,21.631772396483157,48355
4.22,15.31870281106586,48439
7.93,15.412259239708222,48453
5.07,20.125552773427522,48479
3.53,14.301861526900252,48491
8.66,15.114471609299063,49005
9.67,14.458751535875574,49011
14.32,15.238889051622008,49035
18.6,15.769445483784626,49045
11.73,15.27636740179036,49049
12.81,20.098989775136005,49053
14.82,16.953627721968584,49057
36.49,17.085697061048787,50003
6.68,13.67490170408864,50007
22.26,19.884056012628534,50011
30.68,15.897470760682486,50021
20.64,15.201758272994844,50023
53.79,15.443190138681992,50025
28.94,13.887869384502924,50027
35.75,14.415506375954674,51033
24.1,14.53271625662998,51041
25.07,15.801900566773524,51047
6.78,10.682298517610645,51059
21.22,12.830876764916901,51061
26.69,20.845929467308597,51067
18.11,14.53271625662998,51069
18.65,12.676341902656409,51085
