,FIPS,Poverty Rate,Income,Unemployment Rate,Prescription Rate,Death Rate
732,8069,11.0,69443,2.3,52.7,7.56
733,8077,14.9,52623,3.8,72.1,21.11
734,8101,18.2,44060,4.1,97.7,18.62
735,8123,9.4,68679,2.6,49.9,4.92
736,9001,8.8,91170,4.6,37.2,16.21
737,9003,11.0,70433,4.9,48.9,31.38
738,9005,6.9,77968,4.4,52.0,28.54
739,9007,6.8,81533,4.1,54.5,26.31
740,9009,11.0,66764,5.1,54.2,30.1
741,9011,8.6,71721,4.5,55.0,30.11
742,9013,7.4,75571,4.0,41.3,26.41
743,9015,11.5,62606,5.1,61.0,35.24
744,10001,13.2,57112,4.9,64.0,16.97
745,10003,13.4,66839,4.4,65.0,29.3
746,10005,11.9,61124,4.5,80.1,21.3
747,11001,16.6,80153,6.1,28.5,33.0
748,12001,21.2,45230,3.8,65.0,4.12
749,12005,14.9,51633,4.1,113.2,11.44
750,12009,12.4,52596,4.3,83.7,11.88
751,12011,13.1,56702,4.0,45.6,14.83
752,12017,14.4,43147,5.9,102.4,15.79
753,12019,9.9,65375,3.9,79.9,22.62
754,12021,11.7,66709,4.1,51.3,14.75
755,12023,16.5,42097,4.4,110.5,15.8
756,12031,15.1,52105,4.2,82.5,39.13
757,12033,16.4,48289,4.2,101.2,9.57
758,12035,12.0,52713,4.8,74.1,15.38
759,12053,14.0,44710,5.2,102.5,10.72
760,12057,15.5,54741,3.9,60.0,12.42
761,12069,12.6,51429,4.2,74.1,13.58
762,12071,11.8,54198,4.1,60.8,25.7
763,12073,18.0,51716,3.9,65.7,5.17
764,12081,10.8,55189,4.0,70.1,26.97
765,12083,16.2,43772,5.0,84.7,20.32
766,12085,10.9,58344,4.2,70.3,13.13
767,12086,16.7,49758,4.6,28.0,8.94
768,12087,11.8,63009,3.3,74.3,20.78
769,12089,9.1,70590,3.9,103.2,24.18
770,12091,10.9,60798,3.5,77.7,13.8
771,12095,15.3,54021,3.8,41.4,13.57
772,12097,14.0,49284,4.3,46.3,15.62
773,12099,11.8,60059,4.2,53.4,25.76
774,12101,13.0,51247,4.5,79.7,11.8
775,12103,12.2,51488,3.8,73.8,10.51
776,12105,16.1,48328,4.8,68.0,6.26
777,12109,8.3,77022,3.4,60.6,12.71
778,12111,12.8,49995,5.2,61.1,11.8
779,12113,10.2,65434,3.9,86.6,9.75
780,12115,9.2,58423,3.9,72.9,21.71
781,12117,11.2,63865,3.7,52.5,20.75
782,12127,15.2,46911,4.4,73.3,21.9
783,13015,13.2,55067,4.6,97.9,15.23
784,13021,25.0,39047,5.3,119.9,7.85
785,13045,17.2,51388,5.0,109.1,18.67
786,13051,16.3,54667,4.5,77.6,9.64
787,13057,7.5,78247,3.7,64.4,13.73
788,13063,16.3,44757,5.8,39.4,7.01
789,13067,9.5,75485,4.1,54.4,15.75
790,13073,6.6,75832,4.1,72.5,11.87
791,13077,10.4,73296,4.2,74.1,12.58
792,13089,15.3,61496,4.8,40.6,6.24
793,13097,11.8,60177,4.9,84.7,13.21
