id,description,water,vol. sil,non vol sil,humectant,occlusive,shear gel,elastomer,emollient,surfactant,particle,polymer,pres.,total,pred absorb.,pred cream,pred drag-I,pred gloss,pred greasy-5,pred greasy-I,pred oily-I,pred peak,pred silky-5,pred silky-I,pred spread,pred sticky-5,pred sticky-1,pred thick,pred wet ,pred visc,pred yld stress,pred dry time,pred RI8,SSNC absorb.,SE,SSNC cream,SSNC drag-I,SSNC gloss,SSNC greasy-5,SSNC greasy-I,SSNC oily-I,SSNC peak,SSNC silky-5,SSNC silky-I,SSNC spread,SSNC sticky-5,SSNC sticky-1,SSNC thick,SSNC wet ,SSNC study,meas. visc,meas yld stress,meas dry time,act RI 8,SSNC dim 1 all,SSNC dim 2 all,SSNC dim 1 15,SSNC dim 2 15,SSNC dim 1 15 corr,SSNC dim 2 15 corr,pred dim 1,pred dim 2,corr pred dim 1,corr pred  dim 2,surf chassis,elastomer type,polymer system
,orange 2,71.479,1,1,10,1.9,0,6.5,0,5.96,1,0.458,0.703,100,35.82,41.49,30.07,63.49,9.14,16.69,11.04,41.03,21.74,23.47,68.85,13.97,24.5,37.16,61.53,1153,47,12,26.5,33.75,4.27,35.15,31.15,63.75,5.6,14,9.65,36.25,26.95,22,75,10.9,32.1,34.25,62.25,16-0064,1094,13,12.4,25.3,-0.86,0.59,-0.787,0.687,-0.75,0.8,-0.485,0.672,-0.37,0.72,VICL,homemade,Carbopol/Simulgel
,F&L type,75.34,0,0,3,0,0,0,1.1,18.86,1,0,0.7,100,37.8,50.22,79.72,54.07,5.57,13.28,9.87,45.87,12.58,11.89,66.88,8.65,26.82,45.12,42.87,922,28,13.4,35.4,27.95,97.11,41.5,64.25,66,8.3,15.65,9.55,41.5,13.5,10.85,47.5,9.45,31.8,51.25,34.25,16-0064,1716,50,17.2,36.2,0.33,-1.15,0.735,-0.927,0.6,-1.07,0.475,-1.709,0.64,-1.99,VICL,none,none
,VICL type,76.92,0,1,11,0.4,0,0,2,5.96,1,1.02,0.7,100,38.01,38.67,55.86,66.2,7.53,16.55,10.17,41.06,15.97,13.18,71.96,13.2,35.3,36.32,62.09,886,34,13.3,33.2,35.9,4.45,34.5,41,64.75,5.5,15.45,9.7,43.75,22.75,16.5,71.75,13.7,35.85,35.75,60.25,16-0064,2378,25,15.1,29.3,-0.4,0.15,-0.497,0.075,-0.42,0.18,-0.404,-0.833,-0.27,-0.9,VICL,none,Carbopol/Simulgel
,PDWN type,83.28,0,1,5,0,0,0,5.1,1.96,0,2.94,0.72,100,38.17,27.94,44.86,74.52,7.82,17.48,9.92,18.78,17.52,13.83,76.35,9.79,33.14,30.65,75.72,910,30,15.1,32.5,36.35,3.32,39,35.5,66.25,6.9,17.6,11.05,45.25,22.25,16.65,66.5,9.25,29.5,42.25,53.5,16-0064,4159,101,9.5,29.6,0.04,0.59,-0.168,0.406,-0.1,0.53,-1.297,-0.537,-1.45,-0.55,VICL,none,Carbopol/Simulgel/xanthan
,not silky,71.851,0,1,4,0,8,6,2,4.74,0.1,1.6,0.709,100,35.02,32.53,33.78,60.5,6.32,14.94,9.68,38.85,22.2,21.9,71.69,9.24,23.3,34.21,72.49,1076,30,13.9,27,33.4,2.61,48.5,33.65,56.75,6.45,14.95,8.85,50.5,21.9,16.35,58.75,5.75,24.75,46,40.75,16-0064,4953,89,9.9,30.2,0.44,0.84,0.411,0.659,0.36,0.78,-0.835,0.469,-0.81,0.52,VICL,homemade,Carbopol/Simulgel
,silky,63.73,0,3,4,2,0,20,1.1,4.8,0.1,0.57,0.7,100,33.97,45.28,27.66,60.52,11.47,22.21,11.49,39.83,28.79,29.62,63.49,11.04,23.99,41.71,52.41,2029,51,9.7,21.4,30.7,10.66,40.6,31.25,61.25,5.45,14.25,10.95,42.5,22.63,20.5,68.25,7,20.25,39.5,60.7,16-0064,2606,30,11.6,27.6,-0.21,0.77,-0.401,0.677,-0.32,0.79,-0.175,1.261,-0.01,1.26,VICL,homemade,Carbopol/Simulgel
,super silky,40.83,0,3,3,1,13,33,0,4.8,0.1,0.57,0.7,100,32.33,37.08,25.3,54.46,10.89,20.89,10.92,40.04,37.68,39.37,64.42,9.69,22.8,39.32,51.08,2743,44,7.9,13.7,27.95,19.2,40.5,21.95,49.65,9.25,23.75,10.55,47.35,36.25,38.16,55.75,5.85,19.5,57.75,51.14,16-0064,5720,83,6.2,19.3,0.71,2.26,0.233,2.157,0.23,2.01,-0.332,1.899,-0.19,1.78,VICL,homemade,Carbopol/Simulgel
gjm597,20% petrolatum over top,62.765,0,0,10,20,0,0,0.6,5.82,0,0.264,0.551,100,47.62,46.55,44.2,59.47,27.86,38.27,12.64,49.54,14.32,12.57,57.56,22.96,43.4,50.18,47.15,1144,100,10.5,35,34.45,173.35,43.9,56,60.25,14.05,24.25,13.7,44,15.85,13.25,63.75,22.9,43.1,45.9,49,16-0064,1904,11,18.6,33.7,0.09,-0.75,0.242,-0.681,0.24,-0.73,0.579,-0.154,0.73,-0.13,VICL,none,Carbopol/Veegum
,Dove Tinderbox,55.09,0,0,6.09,17,0,0,12,8.37,0.2,0.35,0.9,100,49.85,62.1,53.68,56.3,31.16,45.36,12.65,50.01,15.96,13.72,44.07,19.82,39.06,70.05,27.86,2564,107,11.9,38.4,31.6,333.22,68,62.89,56.75,28.25,50.75,14.85,48.5,16.1,12.53,39.75,24.4,45.75,75.5,20.5,16-0064,3603,107,,40.5,1.7,-0.29,2.019,-0.501,1.75,-0.49,1.633,-0.245,1.45,-0.23,VICL,none,Carbopol/Veegum
,F&L ,74.89,0,0.5,1.18,0,0,0,3.65,18.01,0.9,0,0.87,100,37.95,53.62,78.11,52.7,7.07,16.23,9.89,45.68,13.27,12.43,64.65,7.42,21.63,49.51,42.13,1237,34,13.9,35.4,32.75,27.04,54,79,61.5,6.6,13,6.7,45.1,14.15,12.15,63.75,5.95,16.4,44.25,46.75,16-0064,1500,30,16.6,34.7,0.5,-2.05,0.426,-1.646,0.38,-2.2,0.626,-1.565,0.77,-1.8,other,none,none
