,FIPS,Poverty Rate,Income,Unemployment Rate,Prescription Rate,Death Rate,Strata
0,39081,16.3,43558.0,8.4,111.9,14.99,5.0
1,39085,8.6,61946.0,4.9,74.8,38.93,5.0
2,39087,17.9,42132.0,6.5,82.6,36.14,5.0
3,39091,12.2,53760.0,4.2,83.5,28.78,5.0
4,39093,12.4,54951.0,6.0,74.0,39.5,5.0
5,39095,19.8,45251.0,5.2,98.0,28.67,5.0
6,39097,11.8,60039.0,3.9,73.0,29.94,5.0
7,39099,18.7,42839.0,6.4,93.5,32.17,5.0
8,39101,14.8,44783.0,5.1,102.8,32.26,5.0
9,39103,6.5,73148.0,4.4,61.3,23.13,5.0
10,39109,9.5,59591.0,4.4,68.0,25.79,5.0
11,39113,18.2,47239.0,4.9,92.9,56.47,5.0
12,39123,10.4,56569.0,6.5,69.9,29.53,5.0
13,39133,13.5,52947.0,5.0,61.0,25.94,5.0
14,39135,11.0,57896.0,4.8,66.9,48.49,5.0
15,39139,15.8,44835.0,5.5,70.2,51.19,5.0
16,39141,18.6,47507.0,5.5,93.4,50.65,5.0
17,39143,11.6,52452.0,4.7,68.2,25.28,5.0
18,39145,22.1,39245.0,7.7,105.5,27.6,5.0
19,39149,9.4,59604.0,4.2,71.4,30.85,5.0
20,39151,13.2,51036.0,5.5,92.6,24.62,5.0
21,39153,13.7,52226.0,5.1,76.6,49.23,5.0
22,39155,17.6,45929.0,6.8,94.8,49.05,5.0
23,39157,12.7,50273.0,5.8,75.1,12.98,5.0
24,39165,5.4,81543.0,4.2,64.1,22.46,5.0
25,39167,13.7,47802.0,7.0,119.9,23.1,5.0
26,39169,11.9,53605.0,4.0,57.0,25.76,5.0
27,39173,11.4,60347.0,4.2,47.1,12.29,5.0
28,40013,16.9,39219.0,4.3,145.8,21.94,5.0
29,40027,12.4,61275.0,3.8,79.1,9.69,5.0
30,40037,15.5,45630.0,5.8,110.7,14.02,5.0
31,40079,21.6,37005.0,6.9,89.4,22.06,5.0
32,40101,21.4,40581.0,5.5,122.9,17.27,5.0
33,40109,16.3,51082.0,4.3,109.1,10.09,5.0
34,40143,15.7,51476.0,4.7,125.8,12.75,5.0
35,41005,8.7,74460.0,4.3,74.4,5.39,5.0
36,41017,10.6,61248.0,4.9,86.3,7.72,5.0
37,41029,14.6,48538.0,5.7,106.5,8.77,5.0
38,41039,18.3,47933.0,5.1,101.9,10.55,5.0
39,41047,13.6,55954.0,5.1,68.9,3.87,5.0
40,41051,14.2,62292.0,4.2,51.3,9.75,5.0
41,41067,9.0,75577.0,4.1,50.5,6.69,5.0
42,42001,9.4,59645.0,4.0,45.9,13.7,5.0
43,42003,11.5,56099.0,5.2,72.1,45.54,5.0
44,42005,13.8,46968.0,7.5,74.0,25.57,5.0
45,42007,9.7,54715.0,6.2,72.9,35.24,5.0
46,42011,13.1,59205.0,5.0,59.2,17.84,5.0
47,42013,13.6,44197.0,5.3,105.5,12.84,5.0
48,42017,6.6,80132.0,4.6,66.4,9.1,5.0
49,42019,7.3,66277.0,5.1,69.3,35.32,5.0
50,42021,15.6,43614.0,6.8,98.7,32.66,5.0
51,42025,13.1,51021.0,6.0,74.0,22.01,5.0
52,42029,7.0,92551.0,3.9,50.8,7.17,5.0
53,42039,14.4,45388.0,6.0,84.4,25.51,5.0
54,42041,7.9,64116.0,4.1,69.4,13.28,5.0
55,42043,11.3,59958.0,4.7,64.4,8.77,5.0
56,42045,10.8,67773.0,4.9,70.6,16.15,5.0
57,42049,15.7,48820.0,6.5,79.5,22.81,5.0
58,42051,17.5,42056.0,8.1,128.8,51.23,5.0
59,42055,9.1,59474.0,5.1,73.2,16.9,5.0
60,42063,20.0,43171.0,7.3,71.1,22.0,5.0
61,42069,14.1,47398.0,5.6,112.1,27.92,5.0
62,42071,10.7,61347.0,4.1,54.6,7.99,5.0
63,42073,13.7,46727.0,6.7,92.4,41.24,5.0
64,42077,13.8,60243.0,5.3,48.0,8.81,5.0
65,42079,14.6,46452.0,6.3,85.7,4.11,5.0
66,42081,14.6,48962.0,6.6,86.3,10.41,5.0
67,42085,16.1,49187.0,6.0,109.2,16.83,5.0
68,42089,12.0,59574.0,6.2,75.9,6.62,5.0
69,42091,6.2,84156.0,4.1,59.4,22.15,5.0
70,42095,9.3,65730.0,5.2,66.4,19.19,5.0
71,42097,14.6,46783.0,6.2,95.2,21.61,5.0
72,42101,25.3,41514.0,6.8,67.6,1.72,5.0
73,42107,12.8,50299.0,6.2,79.2,27.16,5.0
74,42111,14.1,43938.0,7.2,69.8,14.65,5.0
75,42115,12.7,47518.0,5.7,51.8,26.92,5.0
76,42125,9.7,58068.0,6.1,72.2,48.56,5.0
77,42127,13.7,49357.0,5.7,64.6,25.64,5.0
78,42129,9.8,56544.0,5.8,74.1,8.72,5.0
79,42133,9.8,62305.0,4.6,62.5,9.01,5.0
80,44003,9.6,63762.0,4.7,71.7,27.94,5.0
81,44005,9.0,72776.0,4.7,59.7,28.99,5.0
82,44007,15.8,52011.0,5.5,58.1,27.93,5.0
83,44009,9.8,77000.0,4.7,63.2,15.84,5.0
84,45003,17.0,47394.0,5.0,87.7,14.93,5.0
85,45007,15.4,45821.0,4.6,93.6,10.68,5.0
86,45013,10.3,65354.0,4.8,65.0,5.46,5.0
87,45015,12.3,58690.0,4.6,59.4,15.17,5.0
88,45019,15.0,56564.0,4.1,76.0,14.12,5.0
89,45035,9.5,58167.0,4.6,101.0,9.75,5.0
90,45041,18.3,45044.0,5.3,136.2,11.53,5.0
91,45043,15.2,47842.0,6.8,88.2,22.8,5.0
92,45045,10.9,55452.0,4.3,91.6,11.03,5.0
93,45051,15.0,45608.0,5.9,110.7,31.95,5.0
94,45063,11.7,57623.0,4.1,91.8,12.23,5.0
95,45073,14.6,46996.0,5.2,115.9,15.72,5.0
96,45077,14.9,46154.0,5.0,107.2,19.53,5.0
97,45079,16.4,51973.0,4.8,64.9,8.3,5.0
98,45083,15.6,47706.0,4.7,107.4,12.94,5.0
99,45091,10.7,61044.0,4.6,72.3,16.63,5.0
100,46099,9.9,60244.0,2.6,65.6,6.94,5.0
101,47001,14.4,46731.0,4.8,147.4,31.61,5.0
102,47009,11.4,51233.0,4.4,91.0,16.32,5.0
103,47019,21.5,33382.0,5.6,109.5,24.78,5.0
