,Unnamed: 0,FIPS,Poverty Rate,Income,Unemployment Rate,Prescription Rate,Death Rate
0,0,1003,10.1,56607,4.1,106.7,9.88
1,1,1043,13.8,45925,3.8,141.1,13.29
2,2,1049,19.5,39906,4.5,103.2,15.36
3,3,1055,18.1,41791,4.6,130.5,26.28
4,4,1073,16.7,50731,4.3,104.2,24.42
5,5,1089,12.8,62750,3.9,100.5,4.99
6,6,1097,19.7,45615,5.2,118.4,3.38
7,7,1115,13.5,52755,4.0,105.0,14.74
8,8,1117,7.4,74098,3.2,89.6,12.64
9,9,1125,15.9,51644,4.2,99.9,5.77
10,10,2020,9.6,78579,5.8,59.4,16.99
11,11,2170,11.3,72296,8.2,69.3,14.08
12,12,4003,16.1,48966,5.6,69.0,12.83
13,13,4005,18.4,54399,5.5,42.4,7.1
14,14,4013,13.5,62221,4.2,59.2,13.7
15,15,4015,17.3,42210,5.9,111.8,9.65
16,16,4019,16.6,51392,4.5,65.4,16.43
17,17,4021,13.0,53114,5.0,50.1,7.67
18,18,4025,13.9,49860,4.5,87.2,9.2
19,19,5007,9.1,64728,3.0,79.4,4.88
20,20,5051,15.9,44662,4.0,157.8,17.23
21,21,5119,15.0,52361,3.4,98.3,7.36
22,22,5125,7.9,61384,3.0,92.7,9.22
23,23,6001,9.3,95550,3.7,26.4,2.22
24,24,6007,18.1,48634,5.8,106.7,6.54
25,25,6013,9.1,95062,3.8,36.2,4.53
26,26,6019,21.1,51452,8.5,52.8,4.65
27,27,6023,19.7,46123,4.2,77.8,19.74
28,28,6029,21.2,49904,9.2,54.9,8.29
29,29,6033,20.2,45797,5.8,90.0,20.23
30,30,6037,14.9,64912,4.8,29.8,4.4
31,31,6041,7.9,112735,2.9,32.4,5.75
32,32,6045,16.3,50453,4.5,89.7,19.31
33,33,6047,23.0,48036,9.4,56.6,4.4
34,34,6059,11.5,86031,3.5,37.0,7.84
35,35,6061,7.8,81366,3.9,56.5,4.66
36,36,6065,12.9,63776,5.2,44.8,5.69
37,37,6067,14.1,62959,4.7,44.3,3.66
38,38,6071,16.0,60270,4.9,46.7,2.55
39,39,6073,11.9,76048,4.0,34.3,8.51
40,40,6075,10.1,109601,2.9,27.1,11.08
41,41,6077,15.5,60950,7.0,47.8,9.26
42,42,6079,11.9,70634,3.6,63.4,7.41
43,43,6081,6.4,115908,2.7,27.0,5.19
44,44,6083,14.2,70651,4.5,48.7,7.14
45,45,6085,7.5,118468,3.2,20.7,3.41
46,46,6087,12.6,76633,5.7,49.1,5.8
47,47,6089,17.0,51207,5.8,102.1,12.78
48,48,6097,9.3,79511,3.4,46.0,5.95
49,49,6099,14.0,58925,7.5,76.0,3.29
50,50,6107,24.0,46377,10.4,58.3,2.37
51,51,6111,9.5,82436,4.5,47.8,9.83
52,52,8001,10.6,65977,2.9,47.2,14.71
53,53,8005,7.8,75196,2.7,50.3,7.78
54,54,8013,12.6,80701,2.3,42.2,8.37
55,55,8031,12.5,64974,2.6,35.1,13.91
56,56,8041,10.8,65260,3.1,60.2,15.16
57,57,8059,7.6,80562,2.5,61.6,5.57
58,58,8069,11.0,69443,2.3,52.7,7.56
59,59,8077,14.9,52623,3.8,72.1,21.11
60,60,8101,18.2,44060,4.1,97.7,18.62
61,61,8123,9.4,68679,2.6,49.9,4.92
62,62,9001,8.8,91170,4.6,37.2,16.21
63,63,9003,11.0,70433,4.9,48.9,31.38
64,64,9005,6.9,77968,4.4,52.0,28.54
65,65,9007,6.8,81533,4.1,54.5,26.31
66,66,9009,11.0,66764,5.1,54.2,30.1
67,67,9011,8.6,71721,4.5,55.0,30.11
68,68,9013,7.4,75571,4.0,41.3,26.41
69,69,9015,11.5,62606,5.1,61.0,35.24
70,70,10001,13.2,57112,4.9,64.0,16.97
71,71,10003,13.4,66839,4.4,65.0,29.3
72,72,10005,11.9,61124,4.5,80.1,21.3
73,73,11001,16.6,80153,6.1,28.5,33.0
74,74,12001,21.2,45230,3.8,65.0,4.12
75,75,12005,14.9,51633,4.1,113.2,11.44
76,76,12009,12.4,52596,4.3,83.7,11.88
77,77,12011,13.1,56702,4.0,45.6,14.83
78,78,12017,14.4,43147,5.9,102.4,15.79
79,79,12019,9.9,65375,3.9,79.9,22.62
80,80,12021,11.7,66709,4.1,51.3,14.75
81,81,12023,16.5,42097,4.4,110.5,15.8
82,82,12031,15.1,52105,4.2,82.5,39.13
83,83,12033,16.4,48289,4.2,101.2,9.57
84,84,12035,12.0,52713,4.8,74.1,15.38
85,85,12053,14.0,44710,5.2,102.5,10.72
86,86,12057,15.5,54741,3.9,60.0,12.42
87,87,12069,12.6,51429,4.2,74.1,13.58
88,88,12071,11.8,54198,4.1,60.8,25.7
89,89,12073,18.0,51716,3.9,65.7,5.17
90,90,12081,10.8,55189,4.0,70.1,26.97
91,91,12083,16.2,43772,5.0,84.7,20.32
92,92,12085,10.9,58344,4.2,70.3,13.13
93,93,12086,16.7,49758,4.6,28.0,8.94
94,94,12087,11.8,63009,3.3,74.3,20.78
95,95,12089,9.1,70590,3.9,103.2,24.18
96,96,12091,10.9,60798,3.5,77.7,13.8
97,97,12095,15.3,54021,3.8,41.4,13.57
98,98,12097,14.0,49284,4.3,46.3,15.62
99,99,12099,11.8,60059,4.2,53.4,25.76
100,100,12101,13.0,51247,4.5,79.7,11.8
101,101,12103,12.2,51488,3.8,73.8,10.51
102,102,12105,16.1,48328,4.8,68.0,6.26
103,103,12109,8.3,77022,3.4,60.6,12.71
104,104,12111,12.8,49995,5.2,61.1,11.8
105,105,12113,10.2,65434,3.9,86.6,9.75
106,106,12115,9.2,58423,3.9,72.9,21.71
107,107,12117,11.2,63865,3.7,52.5,20.75
108,108,12127,15.2,46911,4.4,73.3,21.9
109,109,13015,13.2,55067,4.6,97.9,15.23
110,110,13021,25.0,39047,5.3,119.9,7.85
111,111,13045,17.2,51388,5.0,109.1,18.67
112,112,13051,16.3,54667,4.5,77.6,9.64
113,113,13057,7.5,78247,3.7,64.4,13.73
114,114,13063,16.3,44757,5.8,39.4,7.01
115,115,13067,9.5,75485,4.1,54.4,15.75
116,116,13073,6.6,75832,4.1,72.5,11.87
117,117,13077,10.4,73296,4.2,74.1,12.58
118,118,13089,15.3,61496,4.8,40.6,6.24
119,119,13097,11.8,60177,4.9,84.7,13.21
120,120,13117,5.3,103083,3.7,47.0,10.09
121,121,13121,14.8,64901,4.8,44.2,9.7
122,122,13127,17.0,50740,4.7,93.7,14.07
123,123,13135,10.7,68957,4.2,43.5,7.93
124,124,13139,13.3,61320,3.9,87.1,11.54
125,125,13151,9.8,67493,4.8,70.6,9.3
126,126,13187,13.9,55453,4.1,73.9,30.42
127,127,13215,22.6,42610,5.9,86.5,6.18
128,128,13217,13.4,55632,5.3,75.8,9.25
129,129,13223,8.3,67906,4.1,53.5,12.54
130,130,13245,23.7,38297,5.9,77.1,15.36
131,131,13313,16.5,42568,5.4,86.6,10.51
132,132,15003,8.3,80947,2.3,29.4,3.34
133,133,15009,10.0,76376,2.6,51.3,6.01
134,134,16001,10.8,61469,2.8,64.5,6.79
135,135,16005,14.2,51093,3.1,93.2,14.07
136,136,17007,8.8,69413,6.8,46.4,22.42
137,137,17019,19.2,51466,4.4,58.8,12.89
138,138,17031,14.6,61401,5.1,37.2,19.9
139,139,17037,14.1,60856,4.7,53.4,14.32
140,140,17043,6.2,89536,3.9,42.2,13.01
141,141,17055,19.5,40682,6.6,109.5,30.74
142,142,17083,10.3,58928,4.9,109.9,54.69
143,143,17089,9.2,75739,4.9,37.5,12.34
144,144,17091,15.0,57706,5.5,76.3,21.9
145,145,17093,4.8,97039,4.3,47.8,10.3
146,146,17097,7.7,86242,4.6,47.5,7.82
147,147,17099,14.3,56854,5.7,76.6,28.16
148,148,17111,6.1,86450,4.4,56.8,23.94
149,149,17113,15.6,68895,4.2,52.7,13.93
150,150,17115,14.3,51828,5.6,86.5,10.4
151,151,17119,14.4,58077,4.8,97.2,30.52
152,152,17143,15.4,54195,5.9,69.2,24.04
153,153,17163,16.0,51937,5.1,69.0,8.0
154,154,17167,15.4,61519,4.3,85.4,19.85
155,155,17179,9.1,61086,5.4,81.8,21.72
156,156,17183,19.4,43649,6.5,85.1,24.39
157,157,17197,7.0,82477,5.0,50.0,17.76
158,158,17199,15.3,49993,5.2,134.3,17.82
159,159,17201,14.2,53490,6.5,86.0,30.55
160,160,18003,13.1,52661,3.4,66.8,11.53
161,161,18005,10.6,61943,2.8,81.4,25.6
162,162,18019,10.6,52746,3.5,90.9,23.08
163,163,18039,10.8,58781,2.5,61.8,10.24
164,164,18041,15.5,44970,5.1,103.4,60.32
165,165,18043,10.5,61009,3.4,115.9,31.14
166,166,18053,18.4,44790,3.9,91.4,25.57
167,167,18057,3.8,95080,2.8,46.9,11.12
168,168,18063,5.1,75647,2.9,65.0,6.11
169,169,18067,14.5,51035,3.8,113.4,26.71
170,170,18071,12.7,48789,3.0,73.9,25.07
171,171,18075,14.3,46740,3.5,79.1,52.52
172,172,18085,10.4,62666,2.7,64.2,20.2
173,173,18089,15.9,54929,5.1,74.9,23.47
174,174,18091,14.5,51532,4.5,89.1,13.63
175,175,18095,17.4,44987,4.0,98.9,23.94
176,176,18097,17.6,47642,3.6,65.3,23.79
177,177,18105,21.6,49180,3.7,63.9,10.21
178,178,18107,12.1,53720,3.1,92.0,25.96
179,179,18109,9.9,61068,3.5,101.3,18.65
180,180,18127,10.4,67525,4.1,83.2,19.6
181,181,18135,15.3,46016,4.2,67.6,60.19
182,182,18141,16.0,52188,3.6,71.8,21.45
183,183,18149,17.1,46940,4.4,104.5,61.15
184,184,18157,18.0,52858,3.2,63.7,10.49
185,185,18163,17.5,47456,3.3,121.5,23.68
186,186,18169,13.3,50177,3.5,84.6,34.98
187,187,18177,16.6,44179,3.8,82.8,77.06
188,188,19103,15.3,61395,2.5,28.7,6.7
189,189,19113,9.0,63754,3.3,56.5,8.92
190,190,19153,9.5,66112,3.1,70.1,12.04
