,FIPS,Poverty Rate,Income,Unemployment Rate,Prescription Rate,Death Rate,Strata
702,41051,18.0,48018.0,9.6,81.2,10.34,1.0
703,41067,9.7,60555.0,9.0,74.5,4.53,1.0
704,42003,11.9,47490.0,7.6,88.9,13.08,1.0
705,42007,15.1,44020.0,8.6,86.9,6.45,1.0
706,42019,9.3,54363.0,7.4,83.6,8.16,1.0
707,42051,20.7,35442.0,10.7,132.7,13.18,1.0
708,42069,13.6,42081.0,9.0,123.6,10.73,1.0
709,42077,13.2,51426.0,9.2,53.8,4.01,1.0
710,42091,5.8,75369.0,6.9,74.4,9.38,1.0
711,42101,26.4,34667.0,10.6,81.4,1.57,1.0
712,42125,10.6,47823.0,8.1,89.8,12.99,1.0
713,42129,10.4,46468.0,8.2,83.4,9.58,1.0
714,42133,9.2,55960.0,8.4,68.4,3.22,1.0
715,44003,10.2,54665.0,11.1,100.1,9.63,1.0
716,44007,17.5,45572.0,11.8,81.2,11.81,1.0
717,44009,8.8,67195.0,10.1,84.4,11.03,1.0
718,45003,17.7,43196.0,9.3,99.9,9.99,1.0
719,45015,15.0,49284.0,10.0,63.2,6.75,1.0
720,45019,18.7,46187.0,8.8,86.0,8.57,1.0
721,45041,21.7,38914.0,11.3,131.7,9.5,1.0
722,45045,15.4,45666.0,9.6,119.7,7.54,1.0
723,45059,19.5,36345.0,12.3,84.1,15.03,1.0
724,45073,13.6,42671.0,11.4,150.9,13.46,1.0
725,45077,17.0,40110.0,10.9,110.4,20.13,1.0
726,45079,17.0,45944.0,9.4,75.1,4.68,1.0
727,46103,15.2,45999.0,5.2,84.5,10.9,1.0
728,47001,16.2,45917.0,9.3,209.2,13.31,1.0
729,47009,14.0,41736.0,9.1,139.5,10.57,1.0
730,47011,19.1,38558.0,9.4,182.6,13.14,1.0
731,47021,12.2,51106.0,9.0,85.9,28.13,1.0
732,47037,20.0,43825.0,8.2,114.4,10.21,1.0
733,47063,20.6,38711.0,11.6,281.9,25.58,1.0
734,47065,15.6,44132.0,8.3,168.2,8.32,1.0
735,47093,12.9,44074.0,7.4,166.1,14.58,1.0
736,47119,14.3,45445.0,12.3,157.9,12.35,1.0
737,47125,15.7,47258.0,8.5,106.3,6.38,1.0
738,47141,21.5,35225.0,9.4,165.2,15.21,1.0
739,47145,15.2,42620.0,9.2,183.1,29.53,1.0
740,47149,14.4,51815.0,8.9,111.8,9.14,1.0
741,47157,20.4,43859.0,9.8,93.4,7.33,1.0
742,47165,13.3,48502.0,8.9,109.7,6.22,1.0
743,47189,10.0,56270.0,8.4,109.9,12.28,1.0
744,48029,17.0,47724.0,7.3,68.5,6.47,1.0
745,48039,12.1,64242.0,8.5,77.1,6.71,1.0
746,48085,7.7,77862.0,7.2,67.3,3.58,1.0
747,48091,11.9,61573.0,7.0,98.1,10.14,1.0
748,48113,19.0,46909.0,8.6,63.6,4.14,1.0
749,48121,8.1,68671.0,7.1,75.1,2.41,1.0
750,48141,24.6,36064.0,9.2,43.1,4.12,1.0
751,48157,9.0,76758.0,7.6,47.6,3.76,1.0
752,48167,13.0,57124.0,9.1,95.9,14.42,1.0
753,48201,18.7,50437.0,8.3,69.1,6.04,1.0
754,48245,22.6,39756.0,11.3,95.6,4.76,1.0
755,48339,11.5,65483.0,7.5,81.2,6.14,1.0
756,48355,20.0,41899.0,8.1,92.6,11.46,1.0
757,48439,14.4,52482.0,8.1,82.2,1.99,1.0
758,48451,19.2,39004.0,6.6,108.5,9.07,1.0
759,48453,18.8,51905.0,6.8,72.0,4.49,1.0
760,48479,31.5,34878.0,8.2,34.9,6.79,1.0
761,48491,7.9,66152.0,7.2,76.5,2.37,1.0
762,49011,8.0,64840.0,7.0,81.1,5.87,1.0
763,49035,13.7,56664.0,7.7,90.8,8.26,1.0
764,49049,14.7,54385.0,7.4,74.6,6.97,1.0
765,49057,13.7,53612.0,8.8,94.6,12.11,1.0
766,50007,11.8,56016.0,4.8,50.7,7.03,1.0
767,51019,9.8,51656.0,7.0,45.2,14.56,1.0
768,51041,6.9,69190.0,7.3,77.9,4.74,1.0
769,51059,5.9,102726.0,5.1,37.7,1.94,1.0
770,51087,9.8,59128.0,7.3,85.1,4.56,1.0
771,51153,6.1,91290.0,6.1,46.8,2.74,1.0
772,51167,18.1,34460.0,10.2,160.7,34.61,1.0
773,51185,18.5,35485.0,8.8,189.6,24.4,1.0
774,51195,22.2,36789.0,8.3,216.2,31.36,1.0
775,51550,8.0,67674.0,7.2,85.0,4.5,1.0
776,51700,15.1,49228.0,8.3,78.0,6.09,1.0
777,51760,25.3,39214.0,9.5,68.9,6.37,1.0
778,51810,8.0,63354.0,6.5,68.8,2.74,1.0
779,53007,14.2,45561.0,8.9,120.7,13.8,1.0
780,53009,15.5,42111.0,11.0,164.1,15.41,1.0
781,53011,12.7,55144.0,12.9,72.1,6.82,1.0
782,53015,20.6,43031.0,12.9,104.2,14.65,1.0
783,53033,12.2,66147.0,9.0,68.8,9.37,1.0
784,53035,11.3,57107.0,8.6,80.7,6.77,1.0
785,53053,12.3,56446.0,10.4,88.6,9.31,1.0
