,FIPS,Poverty Rate,Income,Unemployment Rate,Prescription Rate,Death Rate,Strata
0,17201,19.1,44353.0,11.9,110.4,7.14,2.0
1,18035,23.0,37208.0,10.2,142.1,11.05,2.0
2,18039,18.3,44354.0,10.8,88.9,5.03,2.0
3,18089,19.3,48143.0,9.6,92.6,3.23,2.0
4,18095,18.9,41766.0,10.9,153.1,25.15,2.0
5,18097,21.3,39957.0,9.9,100.3,5.6,2.0
6,18127,10.8,62178.0,8.2,100.7,9.06,2.0
7,18141,19.5,43813.0,10.1,96.9,5.62,2.0
8,18143,21.3,38826.0,11.9,238.8,54.2,2.0
9,18163,15.5,43570.0,8.0,165.0,21.08,2.0
10,18167,19.2,39173.0,10.3,158.7,9.24,2.0
11,19113,10.6,55772.0,5.7,68.7,6.08,2.0
12,19153,12.5,56091.0,5.7,96.1,10.06,2.0
13,19163,13.8,50007.0,6.1,75.2,10.17,2.0
14,20091,6.7,70665.0,5.4,79.2,4.7,2.0
15,20103,11.4,61567.0,7.3,57.4,12.96,2.0
16,20173,15.2,49526.0,8.0,113.3,3.39,2.0
17,21013,41.6,24940.0,11.9,347.1,38.29,2.0
18,21015,8.7,64055.0,7.9,128.7,9.04,2.0
19,21019,20.5,38783.0,10.3,172.4,24.26,2.0
20,21037,13.1,53501.0,8.3,117.9,23.09,2.0
21,21051,42.4,22289.0,15.0,286.1,105.89,2.0
22,21067,17.7,47211.0,6.9,97.3,12.93,2.0
23,21071,27.2,28459.0,11.2,426.4,79.07,2.0
24,21111,17.3,45407.0,9.5,130.8,9.91,2.0
25,21115,25.2,35068.0,10.9,248.8,64.11,2.0
26,21117,16.0,50150.0,8.8,106.1,17.46,2.0
27,21121,34.0,25536.0,13.3,128.4,59.58,2.0
28,21133,24.3,31146.0,10.2,222.9,49.09,2.0
29,21151,20.8,40034.0,7.9,132.5,15.44,2.0
30,21193,25.0,31623.0,10.4,320.6,41.74,2.0
31,21195,22.5,33881.0,9.2,315.5,36.98,2.0
32,22051,18.1,43700.0,7.2,123.3,5.78,2.0
33,22103,11.8,57694.0,6.3,138.4,17.32,2.0
34,23005,12.1,55459.0,6.3,83.5,3.9,2.0
35,23011,12.8,44441.0,7.5,122.4,9.02,2.0
36,23019,17.2,41199.0,8.3,110.5,8.45,2.0
37,23031,10.2,55725.0,7.3,86.7,5.55,2.0
38,24005,9.6,62309.0,7.7,86.7,2.72,2.0
39,24025,8.3,77095.0,7.2,89.5,4.46,2.0
40,24510,24.5,38478.0,10.6,73.0,2.58,2.0
41,25001,9.8,56167.0,9.1,84.5,9.27,2.0
42,25003,13.5,43813.0,7.8,91.1,7.67,2.0
43,25005,11.9,53307.0,9.4,91.4,14.57,2.0
44,25009,11.5,64303.0,7.6,66.0,7.48,2.0
45,25013,16.8,47313.0,9.3,90.3,9.27,2.0
46,25015,13.2,54548.0,6.2,70.3,6.34,2.0
47,25017,8.3,76803.0,5.9,48.8,8.43,2.0
48,25021,6.4,81590.0,6.3,58.8,9.03,2.0
49,25023,8.5,67989.0,7.8,72.3,12.46,2.0
50,25025,22.4,49033.0,6.6,48.4,10.81,2.0
51,25027,11.6,60396.0,7.7,74.3,10.11,2.0
52,26049,20.7,40854.0,11.4,131.5,16.82,2.0
53,26065,22.6,42371.0,8.8,96.9,10.65,2.0
54,26077,19.3,45798.0,8.4,104.5,8.33,2.0
55,26081,14.7,50651.0,8.2,88.9,6.57,2.0
56,26093,6.9,68895.0,9.0,71.3,6.05,2.0
57,26099,14.1,50958.0,11.1,116.1,11.64,2.0
58,26115,12.1,54174.0,9.5,110.1,7.26,2.0
59,26121,20.0,38482.0,11.4,152.3,12.26,2.0
60,26147,15.7,45858.0,13.1,106.6,9.28,2.0
61,26155,14.5,46811.0,10.7,97.6,15.75,2.0
62,26161,16.7,56789.0,6.8,62.4,4.31,2.0
63,26163,26.1,38479.0,12.9,104.0,6.44,2.0
64,27003,8.6,63799.0,6.8,68.3,9.01,2.0
65,27037,7.0,70064.0,6.1,62.6,6.22,2.0
66,27053,13.6,60811.0,6.1,55.1,6.08,2.0
67,27123,17.7,51719.0,6.6,57.4,4.86,2.0
68,27137,17.5,44475.0,7.3,95.1,6.49,2.0
69,28033,10.4,54495.0,7.2,121.7,6.1,2.0
70,28121,10.8,59890.0,6.4,112.4,7.65,2.0
71,29071,10.0,47663.0,9.4,113.5,19.62,2.0
72,29077,17.5,40423.0,7.3,142.3,10.1,2.0
73,29095,18.7,44508.0,9.5,88.3,7.84,2.0
74,29099,11.2,51008.0,8.8,91.0,19.14,2.0
75,29161,18.1,39880.0,8.4,181.8,24.43,2.0
76,29183,6.0,67074.0,6.9,88.8,13.69,2.0
77,29189,11.9,55131.0,7.8,81.3,13.02,2.0
78,29510,27.2,32576.0,10.3,62.4,24.52,2.0
79,31055,14.6,51741.0,4.9,72.9,5.72,2.0
80,32003,16.8,48343.0,13.2,97.9,16.65,2.0
81,32031,13.2,50910.0,12.6,103.3,18.32,2.0
82,33011,8.4,66275.0,5.7,74.7,13.19,2.0
83,33013,8.8,64482.0,4.9,87.9,8.19,2.0
84,33015,6.4,75285.0,5.6,76.2,12.15,2.0
85,33017,11.4,54783.0,5.3,105.2,8.88,2.0
86,34001,13.1,49983.0,12.5,83.4,8.75,2.0
87,34003,6.6,79037.0,7.7,50.9,3.95,2.0
88,34009,11.8,52312.0,14.8,98.6,10.35,2.0
89,34013,17.2,51021.0,10.8,44.6,5.35,2.0
90,34017,16.2,55133.0,9.2,40.9,5.77,2.0
91,34021,11.1,71926.0,8.3,59.9,5.99,2.0
92,34023,8.5,73914.0,8.7,55.9,6.02,2.0
93,34025,6.9,79062.0,8.6,71.0,10.62,2.0
94,34027,5.0,91420.0,7.1,52.1,4.65,2.0
95,34029,11.3,56851.0,10.4,84.9,3.97,2.0
96,34031,16.2,52243.0,11.0,51.9,5.18,2.0
97,34035,5.2,95915.0,7.4,43.6,4.0,2.0
98,34039,10.7,65178.0,9.5,51.2,4.26,2.0
99,35001,19.7,44224.0,7.2,87.5,14.31,2.0
100,35013,29.2,36136.0,7.6,64.2,5.62,2.0
101,35039,22.7,37101.0,9.3,106.2,34.61,2.0
102,35043,14.9,53948.0,8.0,63.4,8.94,2.0
103,35045,17.8,46370.0,7.9,74.7,7.8,2.0
104,35049,16.5,50234.0,6.2,109.7,16.48,2.0
105,36005,30.3,32137.0,11.9,38.2,6.54,2.0
106,36027,10.1,67153.0,7.5,68.8,9.73,2.0
107,36029,15.3,47505.0,8.0,83.3,6.97,2.0
108,36047,23.6,42437.0,9.6,29.0,5.05,2.0
109,36055,16.4,50247.0,7.7,62.3,6.17,2.0
110,36059,7.0,91162.0,6.8,51.7,8.48,2.0
111,36061,18.4,65833.0,7.8,48.4,4.0,2.0
112,36063,12.9,45291.0,9.1,93.2,6.94,2.0
113,36067,15.6,53394.0,7.7,54.6,7.07,2.0
114,36071,13.9,65648.0,7.7,70.4,10.14,2.0
115,36075,19.3,43687.0,10.8,41.8,9.0,2.0
116,36081,16.0,53124.0,8.1,28.9,4.0,2.0
117,36085,12.5,69436.0,9.2,60.6,12.54,2.0
118,36103,6.9,83360.0,7.6,70.2,14.68,2.0
119,36105,17.0,46161.0,8.9,99.7,32.51,2.0
120,36119,10.0,76728.0,7.1,44.1,5.75,2.0
121,37019,18.1,42685.0,12.2,119.1,20.89,2.0
122,37021,18.2,41551.0,7.9,105.7,7.46,2.0
123,37023,20.7,37719.0,11.4,153.1,13.2,2.0
124,37025,13.0,50298.0,10.4,115.7,8.82,2.0
125,37031,16.7,45507.0,9.7,114.3,19.3,2.0
126,37035,14.5,44339.0,11.7,139.2,15.57,2.0
127,37039,18.0,32913.0,11.8,143.7,58.84,2.0
128,37051,19.1,43863.0,10.5,94.2,7.39,2.0
129,37057,14.7,41631.0,11.0,93.1,14.14,2.0
130,37063,19.5,47007.0,8.1,65.8,4.02,2.0
131,37067,18.6,43804.0,9.8,94.0,10.14,2.0
132,37071,16.6,40969.0,11.9,141.8,14.49,2.0
133,37081,18.8,44229.0,10.5,88.2,6.26,2.0
134,37089,13.3,46165.0,8.5,101.8,10.19,2.0
135,37097,13.5,49902.0,11.4,112.4,13.65,2.0
136,37101,15.3,48380.0,9.5,72.0,6.37,2.0
137,37109,14.2,50746.0,11.2,114.9,15.2,2.0
138,37119,17.1,52111.0,9.9,65.9,5.08,2.0
139,37129,17.5,45890.0,9.6,119.0,16.97,2.0
140,37133,16.0,45434.0,8.3,91.6,6.68,2.0
141,37151,16.2,40749.0,10.9,85.3,14.75,2.0
142,37153,25.2,32932.0,14.6,159.0,21.45,2.0
143,37155,30.9,30931.0,14.2,118.9,9.59,2.0
144,37157,16.7,36746.0,12.3,150.7,13.93,2.0
145,37159,18.9,40267.0,12.5,97.6,22.46,2.0
146,37169,15.9,42147.0,10.4,88.7,21.17,2.0
147,37171,21.6,35269.0,10.8,183.3,14.92,2.0
148,37183,11.6,62436.0,7.9,67.2,3.76,2.0
149,37191,21.9,39089.0,9.0,76.2,8.89,2.0
150,39009,35.0,33943.0,9.9,108.4,18.53,2.0
151,39017,13.9,53275.0,9.1,106.8,14.86,2.0
152,39023,19.1,41704.0,9.5,123.5,24.69,2.0
153,39025,10.9,55963.0,9.1,120.6,20.09,2.0
154,39035,18.8,41609.0,7.6,80.1,14.41,2.0
155,39041,4.5,86980.0,6.2,75.4,5.61,2.0
156,39049,18.8,47174.0,7.8,115.9,14.34,2.0
157,39055,8.0,66088.0,6.0,66.7,12.87,2.0
158,39061,18.5,46125.0,8.9,104.1,15.87,2.0
159,39085,10.2,53016.0,6.8,89.7,17.4,2.0
160,39087,18.9,37666.0,9.5,111.1,25.6,2.0
161,39093,15.3,48733.0,7.8,93.6,3.98,2.0
162,39095,23.3,38798.0,9.9,111.2,6.14,2.0
163,39099,17.7,39447.0,9.8,127.2,17.28,2.0
164,39101,18.4,42141.0,9.9,125.5,15.1,2.0
165,39103,8.9,60527.0,6.4,87.8,6.35,2.0
166,39113,18.3,41001.0,9.7,120.2,10.23,2.0
167,39129,14.9,52161.0,9.2,95.9,19.65,2.0
168,39139,17.2,40424.0,10.6,106.5,12.14,2.0
169,39141,19.4,43118.0,10.0,158.3,21.73,2.0
170,39145,26.1,31987.0,12.5,135.2,12.61,2.0
171,39151,16.3,42190.0,9.3,117.1,9.33,2.0
172,39153,16.5,46595.0,9.1,110.7,6.3,2.0
173,39155,16.5,40913.0,10.7,113.6,18.16,2.0
174,39157,14.5,41857.0,9.3,93.7,11.89,2.0
175,39165,6.9,70245.0,7.9,89.2,6.51,2.0
176,40017,8.3,60225.0,4.4,119.1,11.72,2.0
177,40019,16.2,40122.0,6.4,201.8,27.03,2.0
178,40027,13.3,51900.0,4.5,118.1,8.42,2.0
179,40037,17.0,41000.0,7.0,137.1,19.87,2.0
180,40079,20.4,34131.0,8.9,102.2,23.7,2.0
181,40101,24.1,35443.0,7.4,121.9,16.9,2.0
182,40109,19.2,43101.0,5.3,152.9,11.2,2.0
183,40123,18.2,40378.0,5.4,140.3,31.75,2.0
184,40125,18.5,41520.0,6.0,190.6,14.23,2.0
185,40131,10.1,54974.0,5.7,144.4,11.4,2.0
186,40143,15.0,46497.0,6.1,141.4,12.45,2.0
187,41005,11.0,58496.0,8.9,94.6,9.21,2.0
188,41007,18.6,43544.0,9.4,187.2,29.61,2.0
189,41017,13.8,47924.0,12.3,115.1,8.73,2.0
190,41029,19.7,40013.0,11.7,142.9,10.25,2.0
191,41039,21.1,40689.0,9.7,119.4,9.9,2.0
192,41043,19.2,42836.0,11.4,130.5,10.16,2.0
193,41047,20.5,44275.0,10.5,87.3,5.33,2.0
194,41051,19.4,46989.0,8.3,78.8,14.71,2.0
195,41067,12.6,62463.0,7.7,73.7,5.92,2.0
196,42003,13.4,49682.0,7.1,89.4,15.73,2.0
197,42007,12.3,48140.0,7.8,87.6,12.91,2.0
198,42013,14.6,42488.0,7.3,116.9,7.87,2.0
199,42017,6.6,70735.0,7.3,82.6,3.03,2.0
200,42019,8.9,54888.0,6.7,84.1,13.52,2.0
201,42029,7.1,79508.0,5.8,57.2,2.18,2.0
202,42045,10.2,59978.0,7.8,82.0,3.04,2.0
203,42051,19.7,36300.0,10.1,130.1,24.25,2.0
204,42069,13.7,43886.0,8.8,123.9,16.81,2.0
205,42073,16.1,41447.0,8.4,119.0,18.78,2.0
206,42077,14.1,50737.0,8.6,54.7,3.12,2.0
207,42091,6.5,76172.0,6.5,73.5,8.21,2.0
208,42101,27.9,34433.0,10.7,84.0,2.21,2.0
209,42125,10.6,52384.0,7.3,89.0,15.84,2.0
210,42129,10.6,46630.0,7.5,82.3,2.74,2.0
211,42133,10.8,55521.0,7.5,72.3,3.43,2.0
212,44003,9.5,59880.0,10.6,98.7,16.31,2.0
213,44007,18.3,46385.0,11.6,81.6,14.04,2.0
214,44009,9.3,68539.0,10.1,82.9,11.06,2.0
215,45003,20.2,42826.0,9.3,98.1,6.22,2.0
216,45019,19.1,49432.0,8.3,86.1,6.71,2.0
217,45045,15.8,48480.0,8.6,112.4,9.76,2.0
218,45063,14.5,50738.0,8.0,97.3,4.12,2.0
219,45077,19.8,40221.0,9.9,107.2,21.74,2.0
220,45083,19.0,40687.0,10.9,126.7,5.23,2.0
221,47001,16.7,41694.0,8.8,209.8,18.61,2.0
222,47009,14.6,45539.0,8.2,131.0,12.91,2.0
223,47011,20.7,38667.0,8.9,183.7,11.99,2.0
224,47013,28.8,29044.0,11.7,257.3,29.62,2.0
225,47021,14.3,50225.0,8.5,86.2,28.15,2.0
226,47037,19.4,43893.0,7.5,114.2,10.7,2.0
227,47063,19.7,35630.0,10.8,261.7,28.54,2.0
228,47065,19.2,42609.0,7.8,171.2,9.68,2.0
229,47093,14.7,45149.0,6.9,156.7,13.73,2.0
230,47125,16.5,47684.0,8.5,114.3,6.79,2.0
231,47141,23.5,35053.0,8.9,173.0,15.08,2.0
232,47145,17.8,42542.0,9.1,195.6,27.86,2.0
233,47149,12.1,52586.0,7.9,111.2,5.58,2.0
234,47157,21.5,44051.0,9.5,91.9,5.13,2.0
235,47187,6.2,90207.0,5.9,70.8,6.89,2.0
236,47189,11.8,59769.0,7.6,111.6,10.29,2.0
237,48029,17.9,46589.0,7.2,68.7,9.45,2.0
238,48039,12.1,62180.0,8.0,76.1,6.88,2.0
239,48085,8.2,82765.0,6.7,66.9,4.06,2.0
240,48113,20.0,47335.0,8.1,64.9,3.97,2.0
241,48121,9.4,70243.0,6.6,76.5,3.21,2.0
242,48141,24.6,39116.0,9.5,43.3,2.92,2.0
243,48157,8.9,82147.0,7.1,46.6,3.95,2.0
244,48167,14.9,58106.0,8.8,96.9,9.81,2.0
245,48181,16.5,44080.0,7.9,151.4,9.06,2.0
