,FIPS,Poverty Rate,Income,Unemployment Rate,Prescription Rate,Death Rate
0,1009,16.2,44225,6.9,66.6,19.02
1,1073,18.6,43967,7.4,141.2,7.27
2,1097,21,39546,9.2,163.4,3.62
3,1117,8.7,67244,5,128.1,7.46
4,1127,21,36600,9.2,335.1,22.65
5,2020,9,71094,5.4,75.3,11.39
6,2170,10.1,68109,8.7,91.0,19.16
7,4003,18.8,43017,9,87.4,9.84
8,4013,17.4,51442,7.3,83.6,5.1
9,4015,21.1,34966,11,144.6,20.66
10,4019,19.9,44745,7.4,94.0,14.21
11,4021,17.7,50362,8.5,66.2,8.0
12,4025,15.7,43397,8.6,116.2,10.82
13,5119,18.6,44819,6.9,119.1,4.37
14,5143,19.3,41856,5.6,116.3,4.73
15,6001,13.1,70209,8.7,43.0,2.12
16,6007,21.8,40748,12.2,164.4,7.22
17,6013,11.1,74208,8.9,59.6,3.98
18,6019,28.2,41563,15.1,71.3,4.11
19,6023,22,39837,9.6,138.6,16.32
20,6029,23.7,45599,13.1,68.3,5.37
21,6033,25.1,35437,12.8,176.4,23.44
22,6037,19.1,52929,10.9,41.8,2.34
23,6039,23.3,42054,14.4,63.0,11.17
24,6041,8.5,88654,6.3,51.9,5.47
25,6053,18.1,56038,11.6,68.7,5.62
26,6059,13,71866,7.9,51.8,6.67
27,6065,17.8,52416,11.6,56.9,5.29
28,6067,19.5,52617,10.5,65.2,4.07
29,6071,20.4,50603,11.4,56.8,2.69
30,6073,15.1,60235,9.1,49.1,8.31
31,6075,14.9,72093,6.8,44.5,7.02
32,6077,18.5,50431,14.4,70.4,5.69
33,6079,14,58427,8.2,85.7,6.91
34,6081,8.4,81568,6.4,40.3,2.3
35,6083,16.3,60683,8.4,67.3,3.25
36,6085,10.8,91195,7.9,32.3,2.18
37,6087,13.9,65799,11.8,78.8,9.75
38,6089,17.1,44477,14.2,163.6,13.44
39,6097,12.1,59855,8.9,72.3,5.08
40,6099,20.1,46324,14.9,112.4,2.49
41,6111,11.6,71043,9.1,63.6,10.77
42,8001,14.9,55695,9.4,61.9,13.49
43,8005,12,60525,7.7,66.5,2.18
44,8013,14.2,66894,6.2,59.9,8.19
45,8031,19.5,50455,7.9,50.4,10.72
46,8035,4.3,98426,6,58.5,7.38
47,8041,13.1,55312,8.9,78.2,6.98
48,8059,9.3,67401,7.4,86.4,8.98
49,8069,13.7,56132,6.7,84.2,6.44
50,8101,20.2,41209,10.7,141.7,16.16
51,8123,14.3,55332,7.8,75.6,5.69
52,9001,8.9,79536,7.8,54.5,3.96
53,9003,12.2,63374,8.5,70.2,5.02
54,9005,7,67746,7.6,73.9,6.93
55,9007,6.4,74588,7.2,72.5,6.64
56,9009,13.3,59217,9.1,79.4,4.98
57,9011,9.3,65573,8.7,81.3,11.31
58,9013,7.3,75048,7.3,55.4,6.6
59,10001,13.4,51695,7.9,87.4,11.93
60,10003,11.4,62086,7,85.4,7.87
61,10005,15.7,48684,7.2,122.6,6.88
62,11001,18.8,65231,9,40.3,5.69
63,12005,16.5,45259,8.6,124.2,6.4
64,12009,14.8,46332,9.4,98.6,4.57
65,12011,15.2,49564,8,58.8,6.23
66,12017,18.7,38937,10.8,110.4,13.63
67,12019,10.9,56359,7.6,106.5,12.86
68,12021,14.2,54475,8.4,66.3,9.33
69,12023,23.4,37091,8.8,125.0,16.18
70,12031,18,43835,8.7,99.0,12.39
71,12033,17.8,44539,8.4,130.1,7.93
72,12053,18.5,37093,10.6,118.8,7.5
73,12057,19.1,46534,7.9,79.6,10.64
74,12061,16.1,42638,11,98.5,7.83
75,12071,15.3,46396,8.8,74.8,6.82
76,12081,15.5,46999,8.1,89.0,11.38
77,12083,18.6,37287,10.2,91.1,2.98
78,12086,20.8,41311,8.3,34.6,3.05
79,12089,13,55367,8,123.1,18.76
80,12091,13.2,52381,6.7,102.7,7.89
81,12095,18.1,45565,8.2,58.0,8.65
82,12097,19.5,42743,9.5,74.3,8.35
83,12099,14.5,51217,8.5,66.9,3.98
84,12101,13.4,42695,9,102.5,7.44
85,12103,14.1,44819,8,94.4,7.16
86,12105,18.1,41337,9.6,79.0,1.95
87,12109,9.5,62112,6.5,69.1,5.94
88,12111,17.5,41934,10.9,73.9,4.58
89,12113,12.3,59854,7.5,125.5,6.31
90,12115,12.7,48239,8.4,90.5,14.76
91,12117,12.6,54901,8.1,67.4,7.89
92,12127,19.7,40114,9.5,91.3,11.47
93,13015,16.5,46693,9.9,120.5,9.93
94,13045,20.2,43636,10.3,139.8,9.86
95,13047,14.8,46600,7.5,185.9,21.52
96,13057,9.6,68800,7.1,77.2,5.42
97,13063,28.4,37594,12,54.5,7.15
98,13067,13.9,62596,7.7,73.0,2.4
99,13077,12.6,61153,8,94.5,8.4
100,13089,21.1,49061,9.4,49.4,3.39
101,13117,6.6,87380,6.6,65.5,6.39
102,13121,18.9,55816,9.1,54.1,5.52
103,13135,14.7,56665,7.8,55.0,3.33
104,13139,19.3,49636,7.8,103.9,5.39
105,13215,18.5,43264,9.8,110.0,5.04
106,13223,12,59621,8.3,69.4,12.43
107,13255,27,35761,12.5,164.2,15.66
108,13297,14.7,52737,9.1,126.8,11.82
109,15003,10.4,70779,5.4,38.9,3.69
110,16001,12.5,54337,6.2,87.0,3.18
111,17019,20.5,46708,7.3,76.4,7.38
112,17031,18,52160,9.6,47.5,9.04
113,17043,7.3,78131,7.5,54.6,9.05
114,17063,8.3,63167,11.5,85.4,19.89
115,17089,11.9,64870,8.9,48.0,4.98
116,17097,9.4,74459,8.1,60.9,7.69
117,17099,14.4,49431,10,96.3,18.59
118,17111,7.6,76417,9,74.1,7.79
119,17113,14.8,62129,6.4,67.9,11.61
120,17119,13,51736,8.8,123.8,17.92
121,17143,19.4,47310,8.4,94.6,11.21
122,17163,19.3,46921,9.5,87.4,12.27
123,17167,14,55386,7.2,124.1,14.55
124,17179,8.6,60403,7.5,107.5,14.71
125,17197,8.4,72395,9.8,60.6,7.77
126,17201,16.1,49060,10.5,117.7,12.33
127,18019,12.8,49164,7.8,146.9,11.61
128,18035,22.4,37339,9.4,145.5,9.37
129,18043,13.4,53367,7.1,197.6,13.28
130,18089,19.6,48015,9.1,95.6,4.05
131,18095,15.9,42707,10,153.4,18.41
132,18097,21.6,41586,9.2,101.4,6.42
133,18127,10.5,63879,7.6,107.0,10.26
134,18141,16.6,45248,9.5,100.5,6.76
135,18163,15.3,41784,7.7,183.3,15.48
136,19103,16.1,52934,3.7,43.1,7.34
137,19113,9.8,57663,5.2,82.8,6.97
138,19153,13.4,57942,5.2,105.7,9.69
139,19163,12.2,53315,5.7,87.5,11.85
140,20045,19.5,48813,5.1,82.2,8.86
141,20091,6.8,73712,4.6,79.6,5.72
142,20173,16.4,47649,6.9,114.7,5.36
143,20209,23.7,37780,8.4,81.7,6.91
144,21015,8.7,66085,6.8,120.2,20.27
145,21029,10.8,56377,8.1,84.1,18.45
146,21037,14.5,54627,6.9,116.0,52.8
147,21049,14.8,45116,8.1,145.4,36.33
148,21067,17.7,46452,5.8,86.6,11.46
149,21071,33.1,31061,11.6,387.2,30.81
150,21081,17.1,46103,9,159.6,49.01
151,21095,29.5,27137,14.1,171.7,38.54
152,21111,18.2,45913,7.9,114.3,10.92
153,21117,14.7,53500,7.4,95.8,25.97
154,21121,32.5,27545,12.8,120.5,31.51
155,21151,22.3,40798,6.7,114.0,21.23
156,21195,23.6,33736,9.7,306.2,26.49
157,21209,10.9,63063,6.5,97.7,20.38
158,21235,29.8,29089,10.7,364.2,42.25
159,22033,20.5,47389,6.7,118.2,2.47
160,22051,16.3,45515,6.7,124.1,11.53
161,22071,28.8,33948,7.9,73.8,4.06
162,22103,13.1,58383,5.9,135.5,13.78
163,23005,11.4,55456,6,78.7,10.92
164,23031,11.4,52663,6.9,81.3,9.55
165,24003,6.3,87083,6,81.9,2.18
166,24005,9.7,62413,7.4,87.3,3.43
167,24015,11.9,62443,8.3,96.8,10.82
168,24031,6.6,94365,5.2,42.0,1.09
169,24033,10.3,69258,7.3,48.7,1.25
170,24510,24.5,39077,10.2,72.2,5.15
171,25001,10.4,58616,8.5,83.8,9.75
172,25003,14,46660,7.3,89.8,11.54
173,25005,13.1,53670,8.7,94.6,17.06
174,25009,12.1,67408,7.1,65.3,11.78
175,25013,19.1,48386,8.6,91.0,11.8
176,25015,13.4,58206,5.8,72.8,6.88
177,25017,8.4,81924,5.4,48.4,6.9
178,25021,7.5,80192,5.7,57.1,9.09
179,25023,7.8,72795,7,71.7,11.21
180,25025,20.5,50884,6.1,48.2,11.15
181,25027,11.8,62318,7.2,73.9,10.17
182,26049,21.3,40483,10,134.0,11.95
183,26065,25.5,43864,7.8,93.5,9.58
184,26077,17.6,45093,7.2,96.3,6.28
185,26081,16.8,50674,6.8,90.2,8.63
186,26093,6.8,75744,7.9,72.2,13.67
187,26099,12.4,52275,9.8,116.8,10.86
188,26115,11.8,51898,7.7,108.6,17.21
189,26121,21.5,40580,10,155.1,10.58
190,26125,10.5,63511,8.2,87.1,1.15
191,26139,10.8,55158,6.6,68.0,3.72
192,26147,15.9,44994,11.8,109.0,6.85
193,26161,16.1,56618,6,60.8,6.84
194,26163,26.3,39461,11.7,106.9,8.09
195,27003,8.3,67811,5.9,65.3,8.32
196,27037,7.5,71574,5.2,63.8,5.68
197,27053,13.1,62500,5.2,54.3,7.51
198,27123,16.9,53707,5.7,56.3,5.77
199,27137,15.2,46601,6.5,92.0,7.99
200,28121,13.4,56101,5.7,113.0,6.89
201,29047,8.9,58151,6.1,104.2,6.15
202,29071,13.7,45061,7.9,117.2,10.85
203,29077,17.8,40570,5.9,143.1,7.13
204,29095,18.7,44634,7.8,95.2,7.09
205,29099,11,53013,7.2,90.5,21.34
206,29183,7.1,70456,5.6,90.9,8.95
207,29187,21.1,35883,8.9,188.4,21.24
208,29189,12.1,56409,6.5,80.7,11.49
209,29510,29.3,32084,8.5,68.0,18.86
210,31055,15.1,51189,4.5,79.5,6.4
211,32003,16.4,49583,11.3,94.2,16.19
212,32023,16.6,41426,14.5,138.2,32.59
213,32031,17.6,49449,11,110.4,15.82
214,33005,11.4,54819,5.1,84.8,14.31
215,33011,9.5,68150,5.8,75.3,11.17
216,33015,6.3,76285,5.8,77.0,11.08
217,33017,12.8,53575,5.4,102.0,8.06
218,34001,14.2,50881,12.7,85.7,9.08
