,FIPS,Poverty Rate,Income,Unemployment Rate,Prescription Rate,Death Rate
0,1003,13.3,47618,10,143.8,5.49
1,1073,18.6,41740,10.3,138.0,6.23
2,1097,20.5,39753,11.3,149.6,3.39
3,1117,9.8,67135,7.1,124.2,6.66
4,1127,23.2,36044,12.7,338.1,29.84
5,2020,9.6,70524,6.6,75.1,8.57
6,4003,17.7,43677,9.3,84.6,9.9
7,4013,16.6,50424,9.5,87.0,7.89
8,4015,18.7,36446,13,146.5,25.48
9,4019,17.8,44293,9.3,97.0,14.59
10,4021,14.4,49833,10.7,66.3,5.32
11,4025,18.3,40562,10.7,112.2,11.85
12,5007,10.2,52417,6.6,97.8,5.42
13,5119,17.1,44733,7.3,122.8,6.79
14,6001,13.5,66937,10.9,43.4,2.45
15,6007,20.1,41168,13.9,169.1,7.27
16,6013,9.3,73678,11,60.2,3.15
17,6017,9.4,65201,12.2,83.3,7.18
18,6019,26.8,44869,16.7,70.1,7.95
19,6023,18,38254,10.6,142.4,17.08
20,6029,21.4,45045,15.7,66.8,5.12
21,6031,22.5,44020,16.1,82.0,6.54
22,6033,21,35914,15.1,169.7,27.84
23,6035,16.8,50093,14,120.1,34.39
24,6037,17.6,52595,12.5,41.0,2.5
25,6041,9.2,82383,7.9,54.3,5.55
26,6047,23.1,41730,18,71.0,3.91
27,6053,17.1,53735,12.7,69.8,4.58
28,6059,12.2,70727,9.7,51.8,6.78
29,6061,9.1,68330,11.6,73.6,2.87
30,6065,16.4,53981,13.8,56.9,5.3
31,6067,16.7,52655,12.6,64.3,6.06
32,6071,18.1,52270,13.5,54.8,3.0
33,6073,14.8,59759,10.8,47.0,7.66
34,6075,12.8,70883,8.9,44.9,12.92
35,6077,19,49742,16.5,66.8,10.65
36,6079,14.3,53620,10.1,85.2,9.27
37,6081,7,82413,8.4,40.8,2.23
38,6083,17.7,56243,9.7,69.2,2.36
39,6085,10.6,84627,10.4,32.2,2.25
40,6087,14.2,60247,13.3,85.8,10.29
41,6089,18.2,41058,16.8,164.0,13.54
42,6095,12.2,62948,12.6,56.5,3.87
43,6097,12.8,58703,10.8,69.4,8.89
44,6099,19.7,47442,16.9,106.9,2.92
45,6107,24.6,42377,17.2,89.4,2.49
46,6109,15.2,44751,15.2,185.4,25.29
47,6111,11,71418,10.8,63.6,8.26
48,8001,13,52785,10,60.1,5.43
49,8005,11.4,58152,8.6,64.6,2.62
50,8013,13.6,62215,7,63.0,5.77
51,8031,21.3,45415,9.1,49.6,12.66
52,8035,3.5,97806,7,61.2,3.85
53,8041,13.4,51553,9.3,79.0,4.82
54,8059,8.8,64181,8.4,83.3,5.8
55,8069,13.6,54739,7.6,80.4,7.68
56,8101,19.6,39107,10.4,125.3,6.29
57,8123,14.3,52334,9.2,65.3,7.12
58,9001,9.3,74634,8.4,54.0,3.38
59,9003,11.3,60028,9.4,71.1,5.59
60,9005,6.7,66076,8.7,73.0,8.42
61,9007,6.8,70805,7.9,68.6,9.66
62,9009,11.6,57070,10,76.3,7.65
63,9011,8.9,61792,8.9,83.6,7.66
64,9015,11.8,56564,10.3,81.1,8.44
65,10001,12.1,51490,8.9,86.8,9.24
66,10003,11.2,59877,8.3,93.3,10.4
67,10005,13.9,48582,8.5,134.0,13.19
68,11001,18.8,60729,9.4,37.1,4.82
69,12001,25.3,40656,8,85.3,5.66
70,12005,15.1,44364,10.5,121.5,11.25
71,12009,13.5,46331,11.3,107.9,5.15
72,12011,14.7,47917,10.2,77.3,6.92
73,12017,17.2,36174,13.7,115.0,10.62
74,12019,11.3,57913,9.9,109.0,6.29
75,12021,15.7,53341,11.6,77.8,12.75
76,12031,16.6,46112,11.4,106.8,6.71
77,12033,19.1,41428,10.1,149.2,7.06
78,12053,15.1,37867,13.5,135.3,12.73
79,12057,16.7,46043,10.7,104.3,17.08
80,12069,13.5,42343,11.8,98.8,4.71
81,12071,17.1,44377,12.5,90.3,13.58
82,12081,14.5,44990,11.4,101.6,21.06
83,12083,19.6,37162,13.6,100.7,7.24
84,12085,11.3,49539,10.8,93.0,7.52
85,12086,20.3,40145,11.1,37.9,2.36
86,12091,12.4,51173,8.4,127.5,6.64
87,12095,16.4,45105,10.8,68.2,10.21
88,12097,16.3,42165,12.5,80.4,8.93
89,12099,14.3,49891,11,83.0,7.73
90,12101,15.2,42184,11.9,120.3,14.63
91,12103,14.2,42628,10.8,106.2,9.82
92,12105,17.5,41184,12.1,87.7,2.82
93,12107,26.7,33300,13.4,125.5,21.52
94,12109,12,60841,8.7,77.2,7.89
95,12111,17.6,39378,13.8,79.7,7.56
96,12113,12.6,51208,9.3,129.0,10.57
97,12115,13.1,46047,11.6,100.1,17.39
98,12117,11,57381,10.6,82.8,13.25
99,12127,16.5,41368,12.3,104.5,20.62
100,13015,14.5,43825,12.2,115.2,10.98
101,13045,19,45242,11.7,139.4,9.05
102,13057,8.6,63520,8.8,82.4,7.93
103,13063,22.6,36595,13.5,56.7,5.4
104,13067,14,59471,9.3,78.6,1.74
105,13073,8.8,64435,7.3,97.1,8.06
106,13089,19.4,47068,10.8,51.0,2.6
107,13117,7.2,81629,8,67.4,5.7
108,13121,17.7,53580,10.5,61.0,5.43
109,13135,13.6,57848,9.2,56.7,4.59
110,13139,17.8,47238,9.6,110.0,7.23
111,13215,20.2,36359,10.1,111.9,6.85
112,13223,8.8,61496,10,84.1,11.94
113,13245,25.9,37866,11,107.4,7.98
114,15003,9.5,67519,6,38.1,5.87
115,16001,13.9,50909,8.3,86.2,6.63
116,17019,19.6,45803,8.2,76.8,5.47
117,17031,16.8,51457,10.9,46.0,6.83
118,17043,6.9,72470,8.9,54.4,6.0
119,17089,11,65430,11,48.0,2.72
120,17097,9,74594,9.8,58.9,10.52
121,17099,13.2,49414,12,86.2,17.56
122,17111,7.3,69290,10.5,68.3,5.83
123,17113,11.7,59719,7.1,66.4,7.67
124,17119,14.3,51706,9.8,114.4,17.83
125,17143,14.3,50166,10.5,89.8,6.97
126,17197,8.5,71344,11.1,58.6,6.49
127,17201,17.5,44336,14,106.1,9.48
128,18035,24.2,36362,11.6,144.5,10.2
129,18043,12.4,49117,8.9,214.5,13.41
130,18089,17.7,45252,10.8,92.6,2.42
131,18095,18,39449,12.1,154.1,15.95
132,18097,20.8,39393,10.5,102.7,5.87
133,18127,10.9,56648,9.5,102.1,14.0
134,18141,15.9,42316,11.6,96.9,3.75
135,18163,16.9,41024,8.9,157.0,17.25
136,19113,9.9,54806,6,66.2,6.15
137,19153,11,54328,6,91.4,6.73
138,19163,15,47800,6.6,74.6,6.66
139,20091,6.6,71389,6.1,78.1,4.04
140,20173,15.3,45996,8.8,112.6,2.81
141,21013,30.2,26911,12.1,366.3,62.74
142,21015,9.2,64005,8.9,136.3,13.47
143,21019,19.1,38029,10.2,187.2,38.35
144,21037,13,47341,9.1,117.0,18.82
145,21043,23.2,34303,14.1,144.8,43.29
