,FIPS,Poverty Rate,Income,Unemployment Rate,Prescription Rate,Death Rate,Strata
0,26049,21.7,41393.0,9.7,134.2,9.87,3.0
1,26065,22.4,44979.0,7.7,91.6,13.46,3.0
2,26077,17.7,46445.0,6.9,89.6,10.91,3.0
3,26081,14.8,51997.0,6.2,88.2,8.53,3.0
4,26093,6.4,71075.0,7.4,69.5,11.39,3.0
5,26099,13.4,52954.0,9.5,110.8,15.09,3.0
6,26115,12.5,55745.0,7.4,111.7,18.62,3.0
7,26121,20.4,41556.0,9.9,154.1,16.96,3.0
8,26125,10.2,67281.0,7.8,82.7,1.79,3.0
9,26139,11.3,57994.0,6.1,67.3,5.13,3.0
10,26147,15.8,49949.0,11.5,112.9,11.22,3.0
11,26161,16.3,59965.0,5.8,57.4,11.57,3.0
12,26163,25.1,40485.0,11.5,104.6,14.08,3.0
13,27003,7.6,70619.0,5.0,62.4,9.42,3.0
14,27037,8.4,73833.0,4.5,61.3,5.63,3.0
15,27053,12.2,64331.0,4.6,49.8,7.92,3.0
16,27123,16.2,56293.0,4.9,50.8,5.13,3.0
17,27137,16.5,46022.0,6.1,86.4,8.48,3.0
18,28121,11.6,55838.0,5.2,109.5,6.81,3.0
19,29047,10.0,60641.0,6.1,102.5,7.81,3.0
20,29071,10.8,51138.0,7.2,106.3,13.75,3.0
21,29077,20.2,38525.0,5.5,139.2,7.4,3.0
22,29095,17.2,46802.0,7.6,92.3,9.71,3.0
23,29099,11.5,55305.0,6.8,94.8,23.04,3.0
24,29183,6.4,70468.0,5.3,85.5,9.64,3.0
25,29187,20.7,37696.0,8.5,215.1,22.65,3.0
26,29189,10.9,59284.0,6.2,78.1,14.38,3.0
27,29510,27.2,34346.0,8.4,64.7,26.69,3.0
28,30029,16.7,46885.0,7.7,109.8,15.04,3.0
29,30063,17.4,45895.0,5.2,98.7,8.94,3.0
30,31055,15.2,51959.0,4.1,73.8,2.98,3.0
31,31109,14.8,52275.0,3.5,70.0,3.7,3.0
32,32003,16.3,51071.0,9.7,86.6,14.15,3.0
33,32031,15.1,53565.0,9.5,100.3,14.76,3.0
34,33005,11.4,52246.0,4.7,84.4,15.66,3.0
35,33011,9.3,67162.0,5.4,72.0,11.88,3.0
36,33013,9.1,64068.0,4.6,90.4,12.94,3.0
37,33015,5.9,74785.0,5.4,76.3,10.7,3.0
38,33017,9.8,59290.0,4.9,98.7,12.84,3.0
39,34001,17.1,51668.0,11.7,86.7,13.05,3.0
40,34003,8.1,81615.0,6.7,45.5,6.7,3.0
41,34005,6.2,76868.0,7.7,74.0,2.22,3.0
42,34009,10.8,56520.0,14.3,98.6,27.11,3.0
43,34011,20.1,45850.0,11.7,105.4,10.17,3.0
44,34013,17.7,53358.0,9.7,42.0,9.37,3.0
45,34015,9.4,71137.0,9.0,85.5,3.45,3.0
46,34017,19.4,55699.0,7.9,37.0,7.27,3.0
47,34021,11.8,70575.0,7.3,59.8,9.18,3.0
48,34023,9.4,76515.0,7.5,47.7,8.08,3.0
49,34025,7.8,83424.0,7.5,63.5,10.01,3.0
50,34027,4.9,99950.0,6.2,47.2,5.41,3.0
51,34029,10.5,59888.0,9.3,77.8,9.6,3.0
52,34031,16.6,57426.0,10.0,49.3,9.49,3.0
53,34035,5.7,96947.0,6.3,40.0,7.56,3.0
54,34037,6.1,85747.0,7.9,66.4,8.9,3.0
55,34039,11.5,64272.0,8.4,46.0,6.93,3.0
56,35001,18.7,48053.0,6.5,74.0,15.43,3.0
57,35013,27.0,36831.0,7.5,52.7,9.84,3.0
58,35039,24.8,36716.0,9.6,93.4,62.39,3.0
59,35043,15.3,56190.0,7.4,58.2,9.52,3.0
60,35045,21.8,44417.0,6.8,63.9,8.7,3.0
61,35049,18.1,51697.0,5.6,94.8,22.38,3.0
62,35061,23.4,41412.0,8.4,84.9,19.66,3.0
63,36001,13.7,55778.0,6.1,54.6,4.24,3.0
64,36005,30.7,33079.0,11.8,34.9,7.89,3.0
65,36007,17.7,45142.0,7.8,77.2,11.14,3.0
66,36011,14.2,48976.0,7.4,35.0,13.84,3.0
67,36013,19.1,40468.0,8.0,88.5,8.27,3.0
68,36027,9.5,69300.0,6.7,62.4,18.19,3.0
69,36029,15.1,51123.0,7.4,76.8,10.11,3.0
70,36045,15.7,46510.0,9.2,29.7,8.37,3.0
71,36047,23.3,47067.0,9.4,26.2,5.17,3.0
72,36055,15.5,51722.0,7.0,56.1,8.54,3.0
73,36059,6.5,95395.0,5.9,46.6,9.84,3.0
74,36061,19.0,71443.0,7.5,45.0,6.09,3.0
75,36063,13.8,46752.0,8.5,84.7,12.14,3.0
76,36065,17.6,44031.0,7.4,64.9,7.28,3.0
77,36067,15.3,52055.0,6.8,49.5,10.03,3.0
78,36069,10.0,57846.0,6.3,57.0,9.17,3.0
79,36071,13.6,68249.0,6.8,67.1,12.51,3.0
80,36075,18.6,46281.0,9.9,46.7,14.86,3.0
81,36079,5.8,92014.0,6.1,42.2,12.04,3.0
82,36081,15.4,56307.0,7.7,26.9,5.53,3.0
83,36085,13.1,68621.0,9.0,51.7,12.91,3.0
84,36087,14.8,80132.0,6.3,37.9,7.79,3.0
85,36089,21.4,43556.0,9.1,26.8,8.93,3.0
86,36103,7.5,84940.0,6.6,59.1,14.27,3.0
87,36105,19.4,46928.0,8.1,85.4,23.48,3.0
