,Unnamed: 0,FIPS,Poverty Rate,Income,Unemployment Rate,Prescription Rate,Death Rate
0,0,1003,9.8,57588,3.6,93.6,6.42
1,1,1043,14.5,45796,3.3,126.7,13.18
2,2,1055,17.5,44903,4.1,126.1,14.63
3,3,1073,16.1,55013,3.7,95.8,20.63
4,4,1089,11.9,63755,3.5,85.4,3.0
5,5,1097,20.8,43598,4.7,107.6,7.98
6,6,1103,13.2,52797,3.5,108.9,11.76
7,7,1115,12.0,57284,3.5,100.1,18.04
8,8,1117,8.0,75663,2.9,81.2,11.13
9,9,1125,16.8,52557,3.7,89.1,5.74
10,10,2020,9.5,82113,5.5,51.2,9.6
11,11,2122,12.4,65439,7.7,76.3,18.79
12,12,2170,10.4,74649,7.6,60.8,10.22
13,13,4003,15.1,49164,5.6,60.3,11.83
14,14,4005,15.9,60187,5.5,34.7,16.1
15,15,4013,12.3,65234,4.1,48.6,17.21
16,16,4015,16.8,45129,5.8,94.1,6.68
17,17,4019,16.2,53395,4.5,56.5,16.17
18,18,4021,12.9,58848,5.0,40.2,8.05
19,19,4025,13.2,48758,4.5,71.9,10.78
20,20,5007,8.6,68978,2.9,69.1,6.97
21,21,5051,20.4,43610,4.0,138.6,11.09
22,22,5119,16.7,49957,3.5,87.1,11.71
23,23,6001,9.0,101744,3.0,22.0,3.36
24,24,6007,18.5,50945,5.0,89.4,6.92
25,25,6013,7.8,101463,3.2,31.4,7.3
26,26,6019,21.3,52318,7.5,48.3,3.52
27,27,6023,20.3,49471,3.6,67.0,11.73
28,28,6025,21.4,46633,18.1,44.1,8.25
29,29,6029,20.5,51586,8.0,48.5,10.71
30,30,6033,18.4,45086,5.2,77.3,32.62
31,31,6037,14.2,67986,4.7,27.4,5.06
32,32,6045,17.5,51386,3.9,81.7,15.98
33,33,6047,21.2,56169,8.3,47.9,7.28
34,34,6059,10.5,89373,2.9,33.8,7.94
35,35,6065,12.7,66793,4.4,39.8,6.04
36,36,6067,14.3,69475,3.8,38.2,4.28
37,37,6071,14.9,63310,4.0,41.6,4.51
38,38,6073,11.5,78777,3.3,29.9,8.23
39,39,6075,10.1,110601,2.4,23.0,16.64
40,40,6077,14.3,63567,6.0,40.4,3.72
41,41,6079,12.7,70626,2.9,58.6,4.58
42,42,6081,6.8,122930,2.2,23.8,5.2
43,43,6083,12.6,75646,3.9,42.4,7.39
44,44,6085,7.3,125933,2.6,18.3,2.94
45,45,6087,12.2,84213,4.9,41.6,8.02
46,46,6089,15.2,53908,4.9,84.3,6.11
47,47,6095,7.9,82808,3.9,31.8,4.48
48,48,6097,9.9,81002,2.7,40.1,8.8
49,49,6099,15.6,59616,6.4,65.6,6.55
50,50,6111,9.1,84170,3.8,43.9,11.28
51,51,8001,9.2,70199,3.5,39.7,13.28
52,52,8005,8.1,76665,3.2,44.0,10.75
53,53,8013,9.7,83591,2.8,37.0,5.83
54,54,8031,11.7,68069,3.2,29.2,12.28
55,55,8041,9.9,67923,3.9,51.9,14.71
56,56,8059,7.0,85550,3.0,53.2,9.65
57,57,8069,10.5,71306,2.8,44.8,6.56
