,FIPS,Poverty Rate,Income,Unemployment Rate,Prescription Rate,Death Rate
0,1003,13.3,48637.0,9.8,143.9,5.57
1,1073,16.5,43312.0,10.8,134.3,9.11
2,1097,18.7,39828.0,11.3,150.3,5.34
3,1117,6.9,65408.0,7.8,122.5,7.78
4,2020,7.6,72210.0,6.5,74.6,13.9
5,2090,7.9,64691.0,7.1,57.1,11.55
6,2122,8.7,57171.0,9.8,103.1,20.07
7,2170,8.7,70442.0,8.9,85.9,18.42
8,4003,16.2,43786.0,8,83.3,7.69
9,4013,15.1,53284.0,9.1,82.5,7.55
10,4015,17.8,39863.0,11.4,139.3,20.53
11,4019,18.9,43243.0,9.1,93.0,14.35
12,4021,13.7,49088.0,12.3,65.1,7.15
13,4025,14.2,40837.0,10.5,104.3,11.37
14,5007,13.1,49226.0,6.4,96.5,5.08
15,5031,17.9,39526.0,7,177.7,10.47
16,5033,17.6,39618.0,7.8,126.6,19.48
17,5119,16.7,42107.0,6.7,119.7,4.74
18,5131,17.6,39088.0,7.6,203.3,7.99
19,6001,10.8,68258.0,10.3,43.9,1.67
20,6005,11.3,54461.0,11.4,133.2,28.77
21,6007,18.5,41196.0,12.3,167.3,7.28
22,6013,9.5,75084.0,10,59.6,3.66
23,6017,7.6,68778.0,10.9,83.8,11.64
24,6019,21.5,45219.0,14.7,69.0,7.05
25,6023,19.0,35985.0,10.7,142.3,18.69
26,6029,22.2,46938.0,14.1,65.0,6.63
27,6033,22.1,36895.0,15,166.0,20.18
28,6037,16.0,54375.0,11.6,41.2,2.78
29,6041,7.3,86658.0,7.5,56.5,5.18
30,6045,17.5,41488.0,10,129.4,11.4
31,6047,24.6,39922.0,16.6,70.4,3.96
32,6053,17.2,57647.0,11.5,69.1,4.87
33,6059,10.7,71735.0,8.7,51.9,7.77
34,6065,13.9,55151.0,13.1,56.4,5.82
35,6067,15.3,52502.0,11,63.5,5.61
36,6071,17.0,52137.0,12.7,54.9,3.28
37,6073,12.5,60103.0,9.4,47.5,8.0
38,6075,11.7,70247.0,8.7,44.5,11.47
39,6077,15.7,52201.0,14.9,66.8,9.89
40,6079,13.2,55638.0,8.8,83.3,5.59
41,6081,7.6,84678.0,8.2,40.1,2.1
42,6083,15.0,58555.0,8.2,69.3,4.28
43,6085,9.1,84990.0,10.6,31.7,2.32
