,FIPS,Poverty Rate,Income,Unemployment Rate,Prescription Rate,Death Rate
0,1003,13.4,50144,9,150.0,5.89
1,1073,18.7,42053,9.3,139.9,5.77
2,1089,13.8,55298,8.3,132.9,4.7
3,1097,19.7,41867,10.8,152.8,3.39
4,1117,8.1,66362,6.2,127.5,5.05
5,1127,22.1,35423,11.3,340.2,30.0
6,2020,8.5,71237,6,75.4,10.49
7,2170,11.6,68999,9.2,97.1,15.23
8,4005,21.6,45051,9.5,61.3,8.18
9,4013,17.4,50785,8.6,86.1,6.83
10,4015,21.7,35998,12.3,146.8,21.74
11,4019,20.4,44102,8.5,98.3,13.24
12,4021,17.4,45170,9.8,70.0,6.53
13,4025,18.4,41437,9.9,114.7,14.16
14,5007,12.1,52644,6.5,89.9,5.27
15,5119,16.6,43898,7.5,118.3,5.7
16,6001,13.2,67295,10.1,43.2,2.88
17,6007,22.6,39208,13.7,163.1,9.99
18,6013,11.9,74241,10.3,59.8,3.47
19,6019,25.8,42572,16.5,70.8,6.47
20,6023,21.1,39526,10.6,143.8,17.07
21,6029,24.6,44903,14.8,66.5,5.05
22,6033,23,35882,14.5,172.6,27.98
23,6035,19.3,47938,13.5,102.9,29.24
24,6037,18.4,52239,12.2,41.4,2.48
25,6039,23.6,44795,16.2,61.4,11.77
26,6053,17.1,52746,12.7,70.2,7.11
27,6059,13,72046,9.1,51.9,7.04
28,6061,8.5,69581,10.8,74.0,3.08
29,6065,16.9,52491,13.2,57.3,4.82
30,6067,17.7,52236,12.1,63.3,4.6
31,6071,19.4,51017,12.9,55.1,2.95
32,6073,15.2,59290,10.3,47.2,8.76
33,6075,13.8,69354,8.1,45.0,13.04
34,6077,18.2,50376,16.2,67.3,10.49
35,6079,15.1,53877,9.6,84.8,8.46
36,6081,7.9,81378,7.5,41.6,1.93
37,6083,15.4,59494,9.4,69.4,2.81
38,6085,10.7,84741,9.3,32.4,3.21
39,6087,14.9,61228,13.1,83.7,16.27
40,6089,19.4,41796,15.9,157.4,9.56
41,6095,13.6,63090,12.2,57.2,3.6
42,6097,12.2,60792,10.2,69.8,4.71
43,6099,23.3,44287,16.5,108.5,3.47
44,6107,25.6,40599,17.1,89.9,5.12
45,6111,11.5,74019,10.2,64.1,10.1
46,8001,16.1,52429,9.9,60.0,12.18
47,8005,12,57042,8.3,64.8,2.74
