,FIPS,Poverty Rate,Income,Unemployment Rate,Prescription Rate,Death Rate
0,1003,12.9,52387,5.5,132.1,9.33
1,1009,14.7,50487,5.4,57.9,19.07
2,1073,18,48415,5.8,123.4,20.59
3,1097,18.4,42530,6.9,143.0,5.54
4,1117,8.5,70879,4.2,103.4,5.27
5,2020,8.7,77791,5,68.2,12.39
6,2122,11.4,62025,7.8,100.1,20.67
7,2170,9.8,76601,7.7,78.9,10.88
8,4003,16.9,43451,7.3,83.5,18.98
9,4005,19.5,51955,6.5,56.2,7.19
10,4013,16.3,56017,5.1,73.7,7.7
11,4015,17.4,40360,7.9,133.9,21.49
12,4019,18.7,47107,5.5,79.4,14.75
13,4021,15.8,50888,6.3,63.2,7.87
14,4025,15.1,47220,5.6,104.5,5.85
15,5007,10.8,60294,3.8,93.2,7.21
16,5051,19.3,37723,5.5,182.5,20.58
17,5119,19.4,46473,4.6,111.6,4.33
18,5131,22.1,41452,4.8,174.6,8.61
19,5143,16.9,46418,3.5,101.6,4.44
20,6001,11.5,81462,4.7,33.6,4.15
21,6007,21.4,45369,7.2,136.9,7.54
22,6013,10.2,83036,5,45.8,4.44
23,6019,25.2,46608,10.2,59.6,6.57
24,6023,20.9,40739,5.6,100.7,19.89
25,6025,24.3,39925,24.5,53.7,11.1
26,6029,21.9,51150,10.2,62.4,8.62
27,6033,20.5,37993,7.6,137.0,27.87
28,6037,16.7,59045,6.6,35.3,2.79
29,6039,22.6,46593,10.5,52.6,6.45
30,6045,20.3,43237,5.8,118.2,13.69
31,6047,25.9,42879,11.4,68.5,7.08
32,6053,15.3,60047,8.1,55.6,3.0
33,6059,12.7,78002,4.5,43.9,7.86
34,6061,8.6,76203,5.1,66.5,4.26
35,6065,16.2,57895,6.7,52.4,5.72
36,6067,16.9,58735,6,53.8,2.6
37,6071,18.9,53526,6.4,54.8,1.83
38,6073,13.9,67053,5.2,42.7,7.52
39,6075,12.4,90527,3.6,35.4,10.87
40,6077,17.5,53341,8.9,59.2,6.34
41,6079,14.4,61761,4.7,77.3,10.31
42,6081,8.4,101133,3.4,33.2,3.27
43,6083,15.6,63049,5.3,57.6,7.64
44,6085,8.3,102191,4.1,26.1,3.08
45,6087,15.4,64841,7.5,62.3,9.85
46,6089,19,45943,7.8,132.5,9.47
47,6095,12,67202,6.1,46.7,4.59
48,6097,11,66463,4.5,58.0,7.37
49,6099,19.5,51949,9.5,90.8,4.83
50,6107,27.2,42637,11.6,68.8,2.61
51,6109,14.5,53136,7,126.4,27.93
52,6111,9.9,79285,5.6,56.7,6.23
53,6113,17.5,58766,6.5,47.6,6.1
54,8001,12.8,62991,4.3,56.6,10.79
55,8005,9.2,67062,3.7,63.6,11.09
56,8013,12.3,72392,3.2,51.3,5.64
57,8031,15.7,57886,3.7,44.3,10.99
58,8035,3.4,109926,3.1,54.9,4.03
59,8041,11,60050,4.6,72.5,10.68
60,8059,7.9,71209,3.5,76.3,10.08
61,8069,12.2,64935,3.3,70.0,8.39
62,8101,19.8,40540,5.6,116.5,15.28
63,8123,11.3,69434,3.8,63.0,6.66
64,9001,9,86297,5.4,48.2,11.81
65,9003,11.1,69260,5.9,62.7,21.21
66,9005,7.4,70847,5.2,66.9,28.32
67,9007,6.7,82878,4.9,70.5,22.55
68,9009,13.6,61758,6.2,70.6,19.9
69,9011,11.1,65602,5.9,74.9,24.28
70,9013,7.1,81616,5,52.3,14.53
71,9015,10.9,61303,6.3,78.1,24.02
72,10001,14.2,55678,5.4,84.4,14.41
73,10003,12.1,66179,4.7,78.3,12.03
74,10005,12.3,54309,4.9,100.1,13.91
75,11001,17.7,73115,6.9,35.7,13.83
76,12001,21.1,47023,4.6,69.3,3.85
77,12005,16.5,47745,5.5,121.5,10.46
78,12009,13.4,50352,6,93.0,8.98
79,12011,14,53624,5.1,52.0,5.27
80,12015,12.4,45495,6,77.8,6.93
