,FIPS,Poverty Rate,Income,Unemployment Rate,Prescription Rate,Death Rate
0,1003,13,49626,6.1,143.5,8.0
1,1073,19.5,44852,6.3,130.2,22.25
2,1097,19.6,42943,7.7,158.5,4.34
3,1117,9.6,69432,4.5,110.5,6.77
4,2020,10,75200,5.2,68.0,10.3
5,2170,10.7,73981,8.1,86.2,11.24
6,4003,18.7,45025,8.4,82.7,12.55
7,4013,17.1,53929,5.8,77.9,6.9
8,4015,20.8,37704,8.7,142.2,21.64
9,4019,18.7,45871,6,84.2,15.83
10,4021,17.6,49876,7,65.6,5.47
11,5007,11.9,57408,4.6,95.1,6.6
12,5119,16.1,45698,5.5,117.5,5.09
13,6001,12.5,76996,5.8,38.0,3.23
14,6007,21.9,42302,8.6,143.9,6.24
15,6013,10.5,80338,6.2,51.8,4.68
16,6019,27.5,43338,11.6,66.1,7.25
17,6023,21,40581,6.7,113.6,21.51
18,6025,23.6,38737,24,59.5,6.7
19,6029,24.5,47451,10.4,64.4,8.23
20,6031,24.9,44490,11.9,78.5,7.99
21,6033,24.3,36333,8.9,167.6,24.93
22,6037,18.7,55686,8.3,39.8,2.88
23,6039,22.3,43171,11.2,58.4,6.47
24,6045,18.8,42840,7,127.2,17.07
25,6047,24.8,43818,12.8,74.0,4.51
26,6053,17,57428,9,60.3,2.78
27,6059,12.9,76061,5.5,47.6,7.79
28,6065,17.1,56877,8.2,56.9,6.23
29,6067,18.1,55803,7.3,60.1,3.71
30,6071,20.4,51951,8,58.7,2.65
31,6073,14.7,66034,6.4,46.7,7.32
32,6075,12.1,83788,4.4,38.6,10.21
33,6077,20.7,51527,10.5,69.4,9.64
34,6079,14.5,61775,5.6,86.0,6.45
35,6081,7.5,100806,4.2,36.1,2.64
36,6083,17.4,62116,6.1,62.4,4.99
37,6085,8.5,97219,5.2,28.9,2.74
38,6087,16.1,64257,8.7,70.3,16.92
39,6089,14.7,43661,9.6,151.7,11.12
40,6095,12.3,67106,7.5,52.9,6.49
41,6097,11.3,66949,5.6,65.5,6.2
42,6099,18.1,50917,11.2,103.9,3.01
43,6107,28.1,42360,13.1,78.8,3.71
44,6111,11.5,74967,6.6,60.2,7.56
45,6113,19.5,54509,7.5,51.8,5.3
46,8001,12.9,59316,5.7,60.6,13.11
47,8005,11.2,65359,4.9,66.7,9.53
48,8013,13.3,71546,4.1,53.6,5.74
49,8031,15.9,54872,4.8,48.2,14.46
50,8035,3.7,107250,4,55.9,5.4
51,8041,12.2,59286,6,75.1,10.25
52,8059,8.3,70687,4.5,81.4,9.31
53,8069,12.8,57659,4.3,78.5,9.56
54,8101,19,41382,7.3,125.0,17.92
55,8123,10.5,61501,4.5,69.8,6.12
56,9001,9,85336,6.2,50.7,8.99
57,9003,12.2,65809,6.8,66.5,15.03
58,9005,7.7,73413,6,71.1,23.24
59,9007,7.9,76365,5.7,73.5,20.01
60,9009,13,60387,7.2,75.4,14.63
61,9011,11.1,65813,6.8,79.6,16.81
62,9013,7.5,78653,5.8,54.5,16.52
63,9015,10.3,57547,7.3,82.4,23.08
64,10001,14.1,54271,6.4,94.4,18.02
65,10003,12.3,64632,5.5,81.2,10.67
66,10005,13.9,53316,5.8,113.8,12.33
67,11001,18.4,69992,7.8,40.1,8.65
68,12001,21.6,44325,5.2,71.6,4.68
69,12005,15.6,44800,6.3,128.4,12.29
70,12009,14.5,47973,7,97.0,5.21
