,Unnamed: 0,FIPS,Poverty Rate,Income,Unemployment Rate,Prescription Rate,Death Rate,Strata
1613,670,45003,17.1,45699.0,8.6,99.7,7.98,2.0
815,815,1089,13.8,55298.0,8.3,132.9,4.7,1.0
1034,91,34021,11.1,71926.0,8.3,59.9,5.99,2.0
1904,18,28121,11.6,55838.0,5.2,109.5,6.81,3.0
3261,432,50027,9.1,53984.0,3.2,48.5,23.32,4.0
4367,595,36027,10.1,76955.0,4.3,49.7,26.73,5.0
2813,927,10005,12.3,54309.0,4.9,100.1,13.91,3.0
941,941,17197,8.4,72053.0,10.6,59.7,7.92,1.0
1730,787,6023,21.5,40882.0,8.1,128.1,14.87,2.0
2474,588,36063,13.4,49274.0,7.0,80.8,11.24,3.0
3820,48,42017,6.6,80132.0,4.6,66.4,9.1,5.0
1194,251,48453,18.1,53303.0,6.4,70.9,5.17,2.0
4059,287,8001,10.6,65977.0,2.9,47.2,14.71,5.0
1616,673,45045,16.3,47044.0,7.4,116.6,10.48,2.0
3709,880,37049,15.3,49524.0,5.2,110.8,26.1,4.0
879,879,12001,23.5,39825.0,7.6,82.7,5.21,1.0
3671,842,36013,19.2,42664.0,5.8,72.6,19.3,4.0
369,369,53011,11.8,56351.0,13.3,72.9,10.92,1.0
2820,934,12019,11.6,59244.0,5.1,88.5,18.14,3.0
1865,922,23031,10.0,55163.0,6.3,82.3,10.03,2.0
532,532,20173,15.3,45996.0,8.8,112.6,2.81,1.0
3570,741,24033,9.2,78680.0,4.5,38.7,4.29,4.0
3859,87,45015,12.3,58690.0,4.6,59.4,15.17,5.0
4434,662,37181,23.4,39847.0,6.2,101.9,31.67,5.0
2758,872,5143,16.9,46418.0,3.5,101.6,4.44,3.0
1268,325,2170,10.1,68109.0,8.7,91.0,19.16,2.0
1697,754,54047,36.0,25246.0,12.1,166.1,56.27,2.0
3658,829,34037,6.0,87549.0,4.7,59.6,22.45,4.0
1172,229,47093,14.7,45149.0,6.9,156.7,13.73,2.0
3324,495,55105,13.9,54107.0,5.2,84.5,14.25,4.0
4005,233,55133,5.2,82080.0,3.4,68.3,12.55,5.0
1867,924,24005,9.5,64624.0,6.9,84.5,4.62,2.0
566,566,25025,22.6,49584.0,7.6,51.8,8.45,1.0
3760,931,39043,12.5,51354.0,5.5,84.3,31.95,4.0
1715,772,56025,12.5,54402.0,5.1,94.2,12.72,2.0
4495,723,39165,4.7,85532.0,4.1,54.9,35.39,5.0
693,693,40109,17.6,42758.0,6.1,152.5,13.92,1.0
1448,505,26093,6.8,75744.0,7.9,72.2,13.67,2.0
4145,373,17031,14.6,61401.0,5.1,37.2,19.9,5.0
718,718,45003,17.7,43196.0,9.3,99.9,9.99,1.0
1845,902,19163,14.2,54444.0,5.6,82.7,19.37,2.0
4296,524,27137,14.5,53013.0,4.6,54.4,11.5,5.0
3283,454,51810,8.2,67032.0,4.3,65.1,11.04,4.0
4200,428,20091,5.3,83516.0,3.0,59.1,3.89,5.0
57,57,8035,3.3,100447.0,6.2,59.9,4.62,1.0
4335,563,34011,18.4,51786.0,7.0,77.9,46.55,5.0
1401,458,19163,12.2,53315.0,5.7,87.5,11.85,2.0
1073,130,37063,19.5,47007.0,8.1,65.8,4.02,2.0
3086,257,37141,14.8,49390.0,6.1,46.3,24.3,4.0
705,705,42007,15.1,44020.0,8.6,86.9,6.45,1.0
176,176,26115,10.7,53224.0,14.6,100.5,7.22,1.0
4627,855,50023,9.4,62203.0,2.9,52.0,18.87,5.0
3592,763,26073,23.4,42924.0,4.7,74.6,15.43,4.0
3156,327,42003,12.2,54412.0,5.0,79.0,28.77,4.0
3378,549,6089,17.2,46663.0,7.0,118.0,9.46,4.0
2356,470,21195,27.4,32666.0,10.5,263.1,31.73,3.0
4339,567,34019,3.9,113083.0,3.5,34.8,16.79,5.0
610,610,34023,7.7,75890.0,9.0,55.9,5.31,1.0
442,442,8013,13.6,62215.0,7.0,63.0,5.77,1.0
1132,189,41017,13.8,47924.0,12.3,115.1,8.73,2.0
4096,324,12073,18.0,51716.0,3.9,65.7,5.17,5.0
210,210,35013,24.8,35541.0,7.3,54.4,8.28,1.0
2368,482,23011,13.8,45556.0,5.4,117.2,13.21,3.0
352,352,49057,12.5,53094.0,8.4,95.7,10.96,1.0
1770,827,9005,7.2,70519.0,7.1,70.3,14.98,2.0
455,455,9011,8.9,61792.0,8.9,83.6,7.66,1.0
1674,731,51810,9.1,61523.0,5.7,70.7,4.92,2.0
2119,233,49005,14.2,49556.0,4.0,65.2,8.55,3.0
1205,262,51051,21.8,33494.0,9.9,160.7,63.53,2.0
1913,27,29510,27.2,34346.0,8.4,64.7,26.69,3.0
4497,725,39169,12.9,56172.0,3.9,47.8,14.65,5.0
3441,612,12113,10.6,62668.0,4.5,97.4,7.04,4.0
212,212,35049,12.7,52220.0,6.6,101.4,9.08,1.0
2005,119,39017,13.3,55992.0,7.5,95.4,25.05,3.0
1859,916,22051,18.9,46547.0,6.3,123.6,15.18,2.0
323,323,47009,11.7,45447.0,9.9,138.0,8.97,1.0
