,Unnamed: 0,FIPS,Poverty Rate,Income,Unemployment Rate,Prescription Rate,Death Rate,Strata
1975,89,37001,19.8,43001.0,7.3,98.1,6.48,3.0
3898,126,47189,8.1,70955.0,3.8,91.4,19.58,5.0
4311,539,29113,9.8,67986.0,3.6,66.5,21.36,5.0
607,607,34013,16.4,52288.0,10.8,44.1,6.0,1.0
3697,868,36111,13.9,61421.0,4.4,67.6,14.51,4.0
325,325,47037,17.1,46249.0,8.9,112.9,9.98,1.0
1829,886,17111,7.1,75713.0,8.6,73.4,5.86,2.0
449,449,8123,14.3,52334.0,9.2,65.3,7.12,1.0
129,129,18039,14.4,43531.0,17.9,86.2,6.08,1.0
3782,10,39109,9.5,59591.0,4.4,68.0,25.79,5.0
750,750,48141,24.6,36064.0,9.2,43.1,4.12,1.0
4602,830,48121,7.1,86462.0,3.3,53.8,5.02,5.0
3944,172,51550,8.6,71998.0,4.3,65.5,16.39,5.0
3215,386,47065,15.2,48943.0,5.3,130.8,11.01,4.0
3008,179,33013,8.3,68148.0,3.1,86.1,18.92,4.0
1520,577,36103,7.4,85717.0,7.8,66.4,15.07,2.0
3887,115,47125,12.9,55351.0,5.1,87.0,7.15,5.0
2800,914,8069,12.2,64935.0,3.3,70.0,8.39,3.0
2206,320,6025,23.6,38737.0,24.0,59.5,6.7,3.0
1221,278,53005,11.7,61539.0,8.2,119.4,5.53,2.0
1706,763,55059,13.5,54196.0,8.2,82.8,19.05,2.0
1078,135,37097,13.5,49902.0,11.4,112.4,13.65,2.0
4002,230,55117,7.1,55594.0,3.4,67.0,13.0,5.0
1868,925,24025,7.4,77453.0,6.5,88.4,6.02,2.0
1943,57,35013,27.0,36831.0,7.5,52.7,9.84,3.0
957,14,20091,6.7,70665.0,5.4,79.2,4.7,2.0
611,611,34025,6.8,80462.0,8.7,68.6,6.98,1.0
2915,86,21059,14.9,48724.0,4.6,112.6,10.07,4.0
960,17,21013,41.6,24940.0,11.9,347.1,38.29,2.0
1997,111,37155,30.7,30248.0,11.9,132.4,8.9,3.0
3262,433,51013,7.1,104354.0,2.8,26.1,6.98,4.0
3326,497,55127,12.4,58554.0,4.6,67.4,10.7,4.0
4251,479,24025,7.1,80922.0,4.0,64.6,9.12,5.0
2962,133,26045,10.9,56760.0,4.4,100.6,18.38,4.0
4314,542,29189,10.0,64926.0,3.4,63.4,24.48,5.0
2047,161,41067,10.9,63632.0,6.3,65.3,2.88,3.0
2073,187,44009,9.6,69267.0,8.6,76.5,12.67,3.0
4085,313,12017,14.4,43147.0,5.9,102.4,15.79,5.0
2707,821,53077,20.5,44342.0,8.7,78.0,5.65,3.0
183,183,26163,24.2,38256.0,16.2,95.1,8.92,1.0
2469,583,36045,15.1,49781.0,7.6,27.3,10.91,3.0
4686,914,54039,18.1,43598.0,5.1,94.9,52.92,5.0
2467,581,36027,10.2,70925.0,5.3,57.7,12.48,3.0
4018,246,2170,11.3,72296.0,8.2,69.3,14.08,5.0
1272,329,4019,19.9,44745.0,7.4,94.0,14.21,2.0
1273,330,4021,17.7,50362.0,8.5,66.2,8.0,2.0
1788,845,12057,16.8,49510.0,6.6,77.0,8.52,2.0
1610,667,44003,9.6,59682.0,9.9,101.5,21.23,2.0
3291,462,53063,15.5,48676.0,6.6,87.0,10.18,4.0
4268,496,25025,17.9,65999.0,3.4,26.8,29.7,5.0
2890,61,18019,10.4,51614.0,4.5,115.9,9.53,4.0
3677,848,36047,20.6,54793.0,5.3,23.3,10.23,4.0
4270,498,26021,17.3,48924.0,4.8,84.4,13.61,5.0
2953,124,25013,17.1,51415.0,6.4,77.2,19.76,4.0
314,314,44007,14.8,47432.0,11.9,80.5,11.5,1.0
2555,669,39155,17.2,43160.0,7.3,105.6,24.37,3.0
1924,38,33017,9.8,59290.0,4.9,98.7,12.84,3.0
531,531,20091,6.6,71389.0,6.1,78.1,4.04,1.0
1465,522,29077,17.8,40570.0,5.9,143.1,7.13,2.0
2792,906,6113,17.5,58766.0,6.5,47.6,6.1,3.0
2464,578,36005,31.5,33687.0,9.8,32.5,7.02,3.0
2160,274,53073,16.4,51119.0,7.4,81.8,5.33,3.0
316,316,45003,18.6,43845.0,9.2,94.9,9.46,1.0
3334,505,1073,15.3,50109.0,5.7,116.7,25.02,4.0
1640,697,48085,7.8,81992.0,5.9,68.2,4.31,2.0
2458,572,35035,20.2,41736.0,6.3,62.4,19.97,3.0
4483,711,39135,9.9,52300.0,4.4,57.1,60.8,5.0
1836,893,18019,11.7,50296.0,6.9,149.2,11.51,2.0
1654,711,48479,31.3,35974.0,6.5,31.7,8.87,2.0
801,801,54055,21.6,32366.0,8.5,175.3,43.36,1.0
249,249,37119,14.2,53158.0,10.6,64.3,4.07,1.0
80,80,12057,15.2,47129.0,10.6,101.3,18.86,1.0
4648,876,51179,4.6,111184.0,3.6,41.3,11.59,5.0
1650,707,48355,17.5,48066.0,6.6,97.6,11.79,2.0
2479,593,36075,19.6,46926.0,8.1,44.8,12.41,3.0
2320,434,17163,19.1,50155.0,7.8,79.5,9.78,3.0
1908,22,29095,17.2,46802.0,7.6,92.3,9.71,3.0
1964,78,36069,10.0,57846.0,6.3,57.0,9.17,3.0
4676,904,53073,13.0,61026.0,5.0,63.1,6.32,5.0
17,17,5119,16.7,42107.0,6.7,119.7,4.74,1.0
4673,901,53063,14.1,53438.0,5.4,76.6,5.93,5.0
3188,359,44003,8.7,65332.0,5.5,78.5,23.66,4.0
3523,694,20173,14.9,52612.0,4.6,99.9,6.84,4.0
2324,438,17197,8.1,75176.0,7.6,58.4,8.9,3.0
4370,598,36045,15.1,47436.0,6.5,54.9,13.14,5.0
2960,131,26021,17.1,46588.0,5.2,107.8,10.99,4.0
1500,557,35049,17.2,50716.0,5.8,100.6,23.91,2.0
2713,827,54029,12.9,48178.0,8.0,152.0,39.85,3.0
219,219,36061,16.6,68295.0,8.4,45.5,4.23,1.0
2930,101,22071,24.0,38640.0,6.5,67.8,5.39,4.0
2592,706,42069,15.4,45098.0,6.6,123.4,14.57,3.0
1825,882,17089,10.9,71444.0,8.7,46.6,4.2,2.0
59,59,8059,8.1,66059.0,7.1,81.0,7.52,1.0
1190,247,48245,20.0,41363.0,11.4,94.8,6.33,2.0
3106,277,39025,9.5,62214.0,4.5,88.0,47.53,4.0
3492,663,17183,20.2,45247.0,7.2,93.6,19.2,4.0
2409,523,27053,13.0,64490.0,3.8,47.8,7.59,3.0
1110,167,39129,14.9,52161.0,9.2,95.9,19.65,2.0
297,297,42003,13.0,46212.0,6.8,85.0,13.42,1.0
508,508,17019,19.6,45803.0,8.2,76.8,5.47,1.0
3547,718,22079,19.9,42452.0,6.2,144.0,13.59,4.0
3290,461,53061,9.3,76053.0,4.7,78.4,11.26,4.0
891,891,12071,15.3,45515.0,10.9,88.9,11.25,1.0
3508,679,18109,10.5,60482.0,4.2,110.9,18.65,4.0
599,599,32019,11.4,47108.0,17.5,94.4,23.09,1.0
1862,919,23005,12.1,55020.0,5.3,74.4,9.81,2.0
2505,619,37097,12.7,54026.0,6.3,116.4,13.2,3.0
4117,345,13021,25.0,39047.0,5.3,119.9,7.85,5.0
4001,229,55111,10.1,57647.0,3.6,66.8,18.76,5.0
1645,702,48167,12.3,59588.0,7.6,96.2,8.99,2.0
4369,597,36037,10.8,55522.0,4.8,49.6,18.98,5.0
2795,909,8013,12.3,72392.0,3.2,51.3,5.64,3.0
2237,351,8031,15.9,54872.0,4.8,48.2,14.46,3.0
2797,911,8035,3.4,109926.0,3.1,54.9,4.03,3.0
2682,796,51085,6.1,81940.0,4.6,102.0,10.79,3.0
3286,457,53033,9.8,81816.0,4.3,51.2,9.16,4.0
3478,649,17063,7.9,71969.0,6.7,91.6,19.83,4.0
1299,356,6087,13.9,65799.0,11.8,78.8,9.75,2.0
3388,559,8031,14.0,61038.0,3.1,39.4,12.12,4.0
1505,562,36027,9.8,66677.0,7.8,69.6,13.79,2.0
1933,47,34021,11.8,70575.0,7.3,59.8,9.18,3.0
3417,588,12033,15.2,45004.0,4.9,113.0,9.2,4.0
2730,844,55079,22.0,42946.0,6.9,89.7,21.23,3.0
3497,668,18019,10.5,51837.0,4.2,104.8,18.96,4.0
2385,499,25017,8.9,84026.0,4.7,43.2,14.58,3.0
4240,468,23019,14.3,49836.0,3.8,60.0,32.25,5.0
195,195,29187,17.4,38195.0,11.0,169.3,23.13,1.0
4514,742,42013,14.5,46072.0,4.8,88.8,13.77,5.0
1508,565,36047,24.2,44850.0,9.8,28.8,5.42,2.0
827,827,5007,12.1,52644.0,6.5,89.9,5.27,1.0
3885,113,47117,13.2,50014.0,4.6,145.2,31.33,5.0
91,91,12099,14.4,49660.0,10.7,82.7,4.9,1.0
3540,711,21195,31.4,32734.0,11.0,220.0,23.12,4.0
1071,128,37051,19.1,43863.0,10.5,94.2,7.39,2.0
2000,114,37183,10.9,65433.0,6.0,64.0,4.82,3.0
2145,259,51740,20.9,43041.0,8.1,121.6,10.39,3.0
2018,132,39093,14.6,52762.0,7.3,90.0,20.47,3.0
4418,646,37111,16.2,42853.0,4.0,77.5,24.36,5.0
2844,15,12117,11.5,57357.0,4.9,53.5,11.13,4.0
4688,916,54045,29.2,34925.0,7.4,170.7,91.12,5.0
3927,155,51033,9.9,55423.0,4.5,35.3,33.14,5.0
562,562,25015,12.5,57558.0,7.0,72.1,6.96,1.0
4699,927,55009,9.7,61240.0,2.9,55.8,10.68,5.0
807,807,55027,9.2,50996.0,9.0,45.5,12.39,1.0
4014,242,1115,13.5,52755.0,4.0,105.0,14.74,5.0
2836,7,12099,13.5,56638.0,5.1,59.9,9.77,4.0
4189,417,18141,16.0,52188.0,3.6,71.8,21.45,5.0
4590,818,47155,12.6,48482.0,4.0,99.5,24.58,5.0
1251,308,54099,20.8,35418.0,8.2,91.0,37.98,2.0
4307,535,29071,10.4,55937.0,3.6,88.1,21.29,5.0
3033,204,35043,11.2,62833.0,6.6,57.1,12.91,4.0
1298,355,6085,10.8,91195.0,7.9,32.3,2.18,2.0
2997,168,29510,25.5,37948.0,6.1,57.7,28.51,4.0
4289,517,26159,12.8,52114.0,5.6,94.1,23.89,5.0
3660,831,34041,8.3,74834.0,4.6,70.6,29.08,4.0
3561,732,24005,9.0,72305.0,4.7,71.4,9.63,4.0
745,745,48039,12.1,64242.0,8.5,77.1,6.71,1.0
893,893,12083,17.6,36425.0,12.3,96.4,4.81,1.0
479,479,12095,16.4,45105.0,10.8,68.2,10.21,1.0
161,161,25009,10.8,62758.0,8.7,69.8,9.34,1.0
2571,685,41029,18.1,44835.0,8.4,124.5,6.66,3.0
3442,613,12115,10.8,55088.0,4.5,79.0,17.21,4.0
3795,23,39157,12.7,50273.0,5.8,75.1,12.98,5.0
3002,173,32510,16.4,47015.0,7.2,139.1,38.52,4.0
311,311,42101,24.5,36959.0,9.7,79.0,2.05,1.0
4449,677,39027,13.0,50794.0,5.5,89.7,61.89,5.0
3466,637,13295,18.6,40814.0,5.6,54.8,14.73,4.0
4000,228,55105,12.9,51573.0,4.4,78.2,22.89,5.0
3038,209,36011,12.7,51925.0,5.3,50.8,17.88,4.0
1460,517,27123,16.9,53707.0,5.7,56.3,5.77,2.0
4407,635,37067,16.6,50803.0,4.3,65.2,19.4,5.0
2178,292,55025,13.7,60326.0,4.7,63.8,13.73,3.0
656,656,37129,18.1,46129.0,9.7,122.0,11.84,1.0
702,702,41051,18.0,48018.0,9.6,81.2,10.34,1.0
3160,331,42013,15.3,44880.0,5.2,111.3,8.76,4.0
1733,790,6033,23.3,36973.0,10.9,171.2,29.75,2.0
2616,730,45041,19.5,42232.0,7.2,147.5,11.49,3.0
3647,818,34013,16.3,54879.0,6.0,39.6,21.08,4.0
3565,736,24017,7.4,93947.0,4.3,78.5,7.61,4.0
3862,90,45041,18.3,45044.0,5.3,136.2,11.53,5.0
3268,439,51085,6.2,81900.0,3.9,96.0,12.59,4.0
3072,243,37057,14.1,46400.0,5.6,78.1,10.93,4.0
820,820,2170,11.6,68999.0,9.2,97.1,15.23,1.0
3628,799,29510,24.3,39954.0,5.5,54.1,58.44,4.0
4667,895,53029,9.2,63529.0,5.2,39.1,14.43,5.0
319,319,45077,17.5,40357.0,10.5,108.6,20.98,1.0
2475,589,36065,17.7,48350.0,6.1,58.7,15.46,3.0
4598,826,48029,15.6,54163.0,3.5,50.9,4.85,5.0
2230,344,6099,18.1,50917.0,11.2,103.9,3.01,3.0
2603,717,42115,12.8,49552.0,5.9,65.7,35.78,3.0
775,775,51550,8.0,67674.0,7.2,85.0,4.5,1.0
4066,294,8077,14.9,52623.0,3.8,72.1,21.11,5.0
687,687,39155,18.2,40389.0,13.2,114.1,16.64,1.0
1864,921,23019,15.9,43615.0,6.8,91.5,9.13,2.0
1608,665,42129,10.9,49642.0,7.4,85.3,4.95,2.0
1276,333,5143,19.3,41856.0,5.6,116.3,4.73,2.0
818,818,1127,22.1,35423.0,11.3,340.2,30.0,1.0
2840,11,12109,9.8,71896.0,4.0,64.3,6.18,4.0
3435,606,12101,13.3,46326.0,5.1,86.6,13.08,4.0
125,125,17163,17.1,46368.0,10.9,72.8,7.08,1.0
1800,857,12105,19.3,42447.0,8.2,76.7,2.73,2.0
3629,800,31055,12.4,59226.0,3.3,64.5,4.5,4.0
4430,658,37167,12.4,49871.0,4.1,100.7,17.89,5.0
3678,849,36053,11.1,57703.0,5.3,59.5,18.23,4.0
2233,347,6113,19.5,54509.0,7.5,51.8,5.3,3.0
2711,825,54019,21.4,36739.0,8.4,95.4,33.24,3.0
1406,463,21015,8.7,66085.0,6.8,120.2,20.27,2.0
2556,670,39165,5.8,72973.0,5.0,76.4,12.63,3.0
2657,771,48157,8.8,88516.0,4.5,44.2,3.36,3.0
4446,674,39021,11.0,54335.0,4.1,61.0,36.05,5.0
3295,466,54003,12.5,54217.0,4.9,100.9,35.75,4.0
3132,303,39139,15.1,45273.0,5.6,79.5,23.83,4.0
759,759,48453,18.8,51905.0,6.8,72.0,4.49,1.0
3214,385,47063,19.0,39566.0,6.2,180.4,17.35,4.0
4423,651,37141,12.6,52187.0,4.6,48.6,22.97,5.0
2174,288,54081,20.2,39998.0,7.3,185.8,41.86,3.0
2003,117,39007,18.9,40899.0,9.5,91.5,11.02,3.0
2081,195,45083,18.7,42638.0,7.7,129.3,5.5,3.0
3704,875,37027,17.1,39166.0,5.2,135.6,23.33,4.0
73,73,12009,11.6,45683.0,10.4,106.0,6.27,1.0
2228,342,6095,12.3,67106.0,7.5,52.9,6.49,3.0
3568,739,24027,5.2,119386.0,3.3,35.5,4.41,4.0
2191,305,1117,9.6,69432.0,4.5,110.5,6.77,3.0
4049,277,6079,11.9,70634.0,3.6,63.4,7.41,5.0
2107,221,48141,22.7,39748.0,7.9,42.5,3.26,3.0
2772,886,6059,12.7,78002.0,4.5,43.9,7.86,3.0
585,585,28121,13.8,51007.0,6.9,118.8,12.71,1.0
2596,710,42077,12.8,58283.0,6.1,53.7,5.03,3.0
1681,738,53035,11.2,59354.0,7.9,76.3,5.88,2.0
646,646,37063,18.4,48023.0,8.2,69.4,4.86,1.0
103,103,13067,11.4,62893.0,9.1,78.5,3.21,1.0
2085,199,47011,18.6,42665.0,7.1,159.2,11.78,3.0
1142,199,42017,6.6,70735.0,7.3,82.6,3.03,2.0
2460,574,35043,12.6,56142.0,7.2,57.4,16.71,3.0
2393,507,26049,21.5,41787.0,7.9,138.8,8.72,3.0
1529,586,37045,22.9,38265.0,11.0,159.2,12.31,2.0
2030,144,39155,18.7,41951.0,9.4,107.6,14.53,3.0
985,42,25003,13.5,43813.0,7.8,91.1,7.67,2.0
61,61,8101,16.9,39016.0,8.2,120.5,7.6,1.0
2121,235,49035,12.7,61716.0,4.4,83.8,12.78,3.0
1471,528,29510,29.3,32084.0,8.5,68.0,18.86,2.0
3852,80,44003,9.6,63762.0,4.7,71.7,27.94,5.0
1456,513,26163,26.3,39461.0,11.7,106.9,8.09,2.0
4062,290,8031,12.5,64974.0,2.6,35.1,13.91,5.0
3350,521,5119,17.2,47966.0,3.5,105.2,4.83,4.0
128,128,18035,20.7,35935.0,10.7,139.1,13.62,1.0
4534,762,42077,12.4,60706.0,5.0,39.3,11.46,5.0
2223,337,6081,7.5,100806.0,4.2,36.1,2.64,3.0
3275,446,51187,10.8,58047.0,4.8,92.4,30.7,4.0
2826,940,12057,15.8,51710.0,5.1,67.0,9.04,3.0
2688,802,51177,9.2,75714.0,5.4,83.2,7.74,3.0
1806,863,12127,16.6,40908.0,8.2,89.7,13.78,2.0
1394,451,18097,21.6,41586.0,9.2,101.4,6.42,2.0
2214,328,6053,17.0,57428.0,9.0,60.3,2.78,3.0
1185,242,48141,24.6,39116.0,9.5,43.3,2.92,2.0
4545,773,42125,9.4,60332.0,5.2,58.0,48.72,5.0
3474,645,17019,18.9,51032.0,5.1,65.9,8.64,4.0
4644,872,51153,6.1,100431.0,3.4,32.2,12.74,5.0
3576,747,25009,10.7,73503.0,4.0,46.9,33.5,4.0
3120,291,39085,8.3,60782.0,4.5,80.5,21.37,4.0
2078,192,45073,16.8,42077.0,7.7,146.2,14.66,3.0
2944,115,24031,7.5,98314.0,3.9,37.6,1.92,4.0
923,923,13215,19.8,37564.0,10.0,111.9,5.67,1.0
1966,80,36075,18.6,46281.0,9.9,46.7,14.86,3.0
1778,835,10005,14.8,50207.0,6.8,118.5,12.1,2.0
4408,636,37071,15.1,50016.0,4.6,101.8,22.25,5.0
1179,236,47189,11.8,59769.0,7.6,111.6,10.29,2.0
3828,56,42045,10.8,67773.0,4.9,70.6,16.15,5.0
1000,57,26099,14.1,50958.0,11.1,116.1,11.64,2.0
3307,478,54059,29.0,31742.0,13.2,134.2,47.45,4.0
2374,488,24025,8.0,79403.0,5.7,85.3,5.2,3.0
2098,212,47165,11.0,56077.0,6.2,102.3,6.51,3.0
69,69,10003,10.1,62051.0,8.3,91.7,8.01,1.0
2262,376,12021,14.3,58403.0,6.0,62.0,10.32,3.0
1585,642,41047,20.2,45631.0,10.0,80.5,7.81,2.0
1722,779,4019,19.3,43926.0,6.8,86.4,15.15,2.0
1629,686,47099,19.9,36536.0,9.5,186.1,30.89,2.0
3936,164,51107,3.5,134609.0,3.2,36.8,6.74,5.0
2133,247,51087,11.3,60050.0,5.6,82.8,7.22,3.0
2171,285,54055,26.7,34320.0,7.7,169.0,33.88,3.0
1277,334,6001,13.1,70209.0,8.7,43.0,2.12,2.0
3325,496,55111,11.7,52025.0,4.1,73.8,17.28,4.0
4077,305,10001,13.2,57112.0,4.9,64.0,16.97,5.0
3621,792,29077,16.5,42802.0,3.8,108.9,12.12,4.0
4476,704,39101,16.5,46450.0,5.0,92.0,43.1,5.0
2894,65,18057,4.7,91844.0,3.4,52.8,4.84,4.0
205,205,33013,7.7,61439.0,5.6,90.7,6.82,1.0
4330,558,34001,14.4,59309.0,7.2,63.8,45.2,5.0
4450,678,39029,15.1,43123.0,5.9,66.2,14.55,5.0
2922,93,21151,18.2,46342.0,4.3,89.4,29.6,4.0
664,664,37183,12.0,61594.0,8.3,66.8,3.88,1.0
1152,209,42125,10.6,52384.0,7.3,89.0,15.84,2.0
3884,112,47093,14.8,52174.0,4.0,97.6,31.79,5.0
2868,39,15009,10.7,68684.0,3.7,58.4,6.68,4.0
1355,412,13015,16.5,46693.0,9.9,120.5,9.93,2.0
860,860,8005,12.0,57042.0,8.3,64.8,2.74,1.0
384,384,54055,21.3,32098.0,6.5,186.7,16.08,1.0
3051,222,36075,17.4,49391.0,7.2,57.9,13.32,4.0
1566,623,39113,18.6,42859.0,8.2,116.6,13.47,2.0
1422,479,22051,16.3,45515.0,6.7,124.1,11.53,2.0
1843,900,19113,9.7,56503.0,5.0,81.4,7.4,2.0
27,27,6033,22.1,36895.0,15.0,166.0,20.18,1.0
386,386,55027,9.0,50483.0,9.6,42.5,14.66,1.0
1569,626,39153,15.9,48836.0,7.5,98.0,11.09,2.0
984,41,25001,9.8,56167.0,9.1,84.5,9.27,2.0
553,553,23001,14.6,41831.0,8.6,111.4,11.14,1.0
1694,751,54033,20.2,41221.0,6.5,153.9,14.46,2.0
1375,432,17043,7.3,78131.0,7.5,54.6,9.05,2.0
3557,728,23025,19.5,42134.0,5.6,76.8,21.6,4.0
4341,569,34023,8.5,85187.0,4.1,36.5,23.73,5.0
3793,21,39153,13.7,52226.0,5.1,76.6,49.23,5.0
4031,259,6007,18.1,48634.0,5.8,106.7,6.54,5.0
2211,325,6039,22.3,43171.0,11.2,58.4,6.47,3.0
2945,116,24033,9.5,76366.0,5.2,41.9,2.42,4.0
990,47,25017,8.3,76803.0,5.9,48.8,8.43,2.0
2019,133,39095,21.6,40751.0,8.7,113.5,11.69,3.0
518,518,17197,8.5,71344.0,11.1,58.6,6.49,1.0
4079,307,10005,11.9,61124.0,4.5,80.1,21.3,5.0
2007,121,39025,9.7,61398.0,7.4,104.6,28.97,3.0
3045,216,36059,6.1,101568.0,4.2,44.1,12.71,4.0
134,134,18141,16.4,43544.0,11.5,94.4,3.75,1.0
617,617,35001,16.4,47405.0,7.7,90.8,11.77,1.0
1481,538,34003,8.0,82001.0,7.7,48.2,6.2,2.0
1317,374,9007,6.4,74588.0,7.2,72.5,6.64,2.0
3241,412,48201,16.6,56670.0,4.6,48.3,5.44,4.0
744,744,48029,17.0,47724.0,7.3,68.5,6.47,1.0
4164,392,17197,7.0,82477.0,5.0,50.0,17.76,5.0
764,764,49049,14.7,54385.0,7.4,74.6,6.97,1.0
4577,805,47031,14.9,48188.0,3.7,156.4,21.8,5.0
1664,721,51059,6.0,106690.0,4.5,38.5,3.4,2.0
3821,49,42019,7.3,66277.0,5.1,69.3,35.32,5.0
942,942,17201,19.1,44353.0,11.9,110.4,7.14,1.0
2346,460,21029,12.3,54924.0,5.8,69.3,29.5,3.0
4671,899,53057,11.3,65505.0,5.5,71.8,9.55,5.0
2543,657,39099,18.9,41316.0,6.7,112.3,18.87,3.0
3024,195,34031,17.3,55723.0,7.1,50.6,9.59,4.0
499,499,13117,7.2,81629.0,8.0,67.4,5.7,1.0
467,467,12021,15.7,53341.0,11.6,77.8,12.75,1.0
1372,429,16001,12.5,54337.0,6.2,87.0,3.18,2.0
1022,79,31055,14.6,51741.0,4.9,72.9,5.72,2.0
4356,584,35049,12.2,58639.0,4.9,72.9,20.17,5.0
1327,384,12011,15.2,49564.0,8.0,58.8,6.23,2.0
1814,871,13121,18.2,55474.0,8.1,53.8,6.81,2.0
2335,449,18141,17.2,46388.0,6.5,90.6,9.72,3.0
3127,298,39103,7.0,70576.0,4.1,66.8,15.87,4.0
3858,86,45013,10.3,65354.0,4.8,65.0,5.46,5.0
4574,802,47011,16.9,48663.0,3.7,113.7,13.26,5.0
