,Unnamed: 0,FIPS,Poverty Rate,Income,Unemployment Rate,Prescription Rate,Death Rate,Strata
4031,259,6007,18.1,48634.0,5.8,106.7,6.54,5.0
367,367,53005,11.3,57603.0,7.2,119.7,9.93,1.0
2253,367,10003,12.3,64632.0,5.5,81.2,10.67,3.0
1243,300,54043,27.1,32517.0,10.7,63.7,60.32,2.0
3531,702,21071,30.4,31295.0,11.4,226.2,35.03,4.0
517,517,17143,14.3,50166.0,10.5,89.8,6.97,1.0
2642,756,47141,20.8,37693.0,6.9,156.1,21.57,3.0
75,75,12019,9.2,57858.0,9.3,108.5,11.63,1.0
3547,718,22079,19.9,42452.0,6.2,144.0,13.59,4.0
4419,647,37119,11.4,65750.0,4.3,47.4,15.6,5.0
3851,79,42133,9.8,62305.0,4.6,62.5,9.01,5.0
287,287,40135,22.1,31563.0,9.5,67.7,28.43,1.0
1575,632,40109,19.1,43623.0,4.8,152.9,13.62,2.0
510,510,17043,6.9,72470.0,8.9,54.4,6.0,1.0
2052,166,42019,9.4,58430.0,6.2,79.8,17.25,3.0
223,223,36075,14.7,45928.0,9.8,40.3,9.83,1.0
3653,824,34025,7.1,89968.0,4.5,55.1,22.21,4.0
1654,711,48479,31.3,35974.0,6.5,31.7,8.87,2.0
15,15,5031,17.9,39526.0,7.0,177.7,10.47,1.0
1729,786,6019,28.6,43741.0,13.3,68.1,5.23,2.0
2988,159,28059,16.1,46339.0,7.0,114.5,7.07,4.0
737,737,47125,15.7,47258.0,8.5,106.3,6.38,1.0
1822,879,17019,21.6,46917.0,7.4,72.2,6.34,2.0
2559,673,40021,20.6,38027.0,6.0,116.1,22.76,3.0
4039,267,6045,16.3,50453.0,4.5,89.7,19.31,5.0
474,474,12081,14.5,44990.0,11.4,101.6,21.06,1.0
1354,411,12127,19.7,40114.0,9.5,91.3,11.47,2.0
3086,257,37141,14.8,49390.0,6.1,46.3,24.3,4.0
1240,297,54019,21.8,32316.0,9.0,108.9,35.01,2.0
2329,443,18043,11.6,53186.0,5.1,152.6,18.38,3.0
2095,209,47145,18.1,42037.0,9.0,178.9,26.39,3.0
893,893,12083,17.6,36425.0,12.3,96.4,4.81,1.0
233,233,37023,17.4,36177.0,14.1,134.2,16.45,1.0
3117,288,39061,16.6,51070.0,4.5,78.6,38.88,4.0
4485,713,39141,16.3,50387.0,5.1,76.8,31.04,5.0
4710,938,55101,10.9,61118.0,4.0,64.8,20.91,5.0
2609,723,44007,18.3,47278.0,8.1,70.6,20.25,3.0
2644,758,47149,14.7,53799.0,5.2,106.1,8.31,3.0
3169,340,42049,17.1,47118.0,5.5,87.5,12.59,4.0
3056,227,36089,18.5,42811.0,7.3,61.8,10.81,4.0
254,254,37151,16.0,38529.0,11.2,78.4,13.46,1.0
2006,120,39023,18.2,44029.0,7.5,114.6,19.83,3.0
945,2,18039,18.3,44354.0,10.8,88.9,5.03,2.0
934,934,17111,8.0,70682.0,9.9,70.0,6.15,1.0
